"","tcr","method","auc","MHC_type"
"1","TCR-F5","ATM-TCR",0.611619718309859,"MHCII"
"2","TCR-3598-2","ATM-TCR",0.430701179554391,"MHCII"
"3","B3K508","ATM-TCR",0.4984375,"MHCII"
"4","TCR-1E6","ATM-TCR",0.622763864042934,"MHCI"
"5","18A2","ATM-TCR",0.515731874145007,"MHCI"
"6","NYE-S1","ATM-TCR",0.467209072978304,"MHCI"
"7","868Z11","ATM-TCR",0.559269796111901,"MHCI"
"8","TCR6","ATM-TCR",0.608796296296296,"MHCI"
"9","TCR7","ATM-TCR",0.388095238095238,"MHCI"
"10","A6","ATM-TCR",0.567692307692308,"MHCI"
"11","A23","ATM-TCR",0.564566929133858,"MHCI"
"12","TCR2-T","ATM-TCR",0.555555555555556,"MHCI"
"13","a3a","ATM-TCR",0.379340892983699,"MHCI"
"14","TIL1383I","ATM-TCR",0.579303675048356,"MHCI"
"15","R24","ATM-TCR",0.371833839918946,"MHCI"
"16","TCR81-14","ATM-TCR",0.416666666666667,"MHCI"
"17","A11Va","ATM-TCR",0.421666666666667,"MHCI"
"18","TCR-F5","AttnTAP",0.439319248826291,"MHCII"
"19","TCR-3598-2","AttnTAP",0.43819626474443,"MHCII"
"20","B3K508","AttnTAP",0.5265625,"MHCII"
"21","TCR-1E6","AttnTAP",0.497242098986285,"MHCI"
"22","18A2","AttnTAP",0.513269493844049,"MHCI"
"23","NYE-S1","AttnTAP",0.673570019723866,"MHCI"
"24","868Z11","AttnTAP",0.488383119962067,"MHCI"
"25","TCR6","AttnTAP",0.576851851851852,"MHCI"
"26","TCR7","AttnTAP",0.374761904761905,"MHCI"
"27","A6","AttnTAP",0.538681318681319,"MHCI"
"28","A23","AttnTAP",0.459842519685039,"MHCI"
"29","TCR2-T","AttnTAP",0.754385964912281,"MHCI"
"30","a3a","AttnTAP",0.56591070163005,"MHCI"
"31","TIL1383I","AttnTAP",0.565764023210832,"MHCI"
"32","R24","AttnTAP",0.268996960486322,"MHCI"
"33","TCR81-14","AttnTAP",0.42030303030303,"MHCI"
"34","A11Va","AttnTAP",0.587619047619048,"MHCI"
"35","TCR-1E6","DeepTR",0.387447823494335,"MHCI"
"36","NYE-S1","DeepTR",0.399408284023669,"MHCI"
"37","868Z11","DeepTR",0.424134660976766,"MHCI"
"38","TCR6","DeepTR",0.505555555555556,"MHCI"
"39","TCR7","DeepTR",0.527619047619048,"MHCI"
"40","A6","DeepTR",0.603076923076923,"MHCI"
"41","A23","DeepTR",0.196456692913386,"MHCI"
"42","a3a","DeepTR",0.769312544294826,"MHCI"
"43","TIL1383I","DeepTR",0.325918762088975,"MHCI"
"44","R24","DeepTR",0.465552178318136,"MHCI"
"45","TCR81-14","DeepTR",0.516969696969697,"MHCI"
"46","A11Va","DeepTR",0.555714285714286,"MHCI"
"47","TCR-1E6","epiTCR",0.528473464519976,"MHCI"
"48","18A2","epiTCR",0.458549931600547,"MHCI"
"49","NYE-S1","epiTCR",0.458086785009862,"MHCI"
"50","868Z11","epiTCR",0.501659554291133,"MHCI"
"51","TCR6","epiTCR",0.626234567901235,"MHCI"
"52","TCR7","epiTCR",0.430238095238095,"MHCI"
"53","A6","epiTCR",0.491538461538462,"MHCI"
"54","A23","epiTCR",0.650787401574803,"MHCI"
"55","TCR2-T","epiTCR",0.590480831708902,"MHCI"
"56","a3a","epiTCR",0.622785258681786,"MHCI"
"57","R24","epiTCR",0.528115501519757,"MHCI"
"58","TCR81-14","epiTCR",0.520606060606061,"MHCI"
"59","A11Va","epiTCR",0.555714285714286,"MHCI"
"60","TCR-F5","ERGO-II",0.405046948356807,"MHCII"
"61","TCR-3598-2","ERGO-II",0.566268020969856,"MHCII"
"62","B3K508","ERGO-II",0.6109375,"MHCII"
"63","TCR-1E6","ERGO-II",0.6340190816935,"MHCI"
"64","18A2","ERGO-II",0.502872777017784,"MHCI"
"65","NYE-S1","ERGO-II",0.537228796844181,"MHCI"
"66","868Z11","ERGO-II",0.469179706021811,"MHCI"
"67","TCR6","ERGO-II",0.548456790123457,"MHCI"
"68","TCR7","ERGO-II",0.43047619047619,"MHCI"
"69","A6","ERGO-II",0.384175824175824,"MHCI"
"70","A23","ERGO-II",0.447637795275591,"MHCI"
"71","TCR2-T","ERGO-II",0.466861598440546,"MHCI"
"72","a3a","ERGO-II",0.750531537916371,"MHCI"
"73","TIL1383I","ERGO-II",0.357833655705996,"MHCI"
"74","R24","ERGO-II",0.701114488348531,"MHCI"
"75","TCR81-14","ERGO-II",0.402727272727273,"MHCI"
"76","A11Va","ERGO-II",0.563571428571429,"MHCI"
"77","B3K508","HeteroTCR",0.565625,"MHCII"
"78","TCR-1E6","HeteroTCR",0.561121049493143,"MHCI"
"79","18A2","HeteroTCR",0.601367989056088,"MHCI"
"80","NYE-S1","HeteroTCR",0.367357001972387,"MHCI"
"81","868Z11","HeteroTCR",0.641299193930773,"MHCI"
"82","TCR6","HeteroTCR",0.527777777777778,"MHCI"
"83","TCR7","HeteroTCR",0.476666666666667,"MHCI"
"84","A6","HeteroTCR",0.437802197802198,"MHCI"
"85","A23","HeteroTCR",0.411417322834646,"MHCI"
"86","TCR2-T","HeteroTCR",0.353476283300845,"MHCI"
"87","a3a","HeteroTCR",0.121545003543586,"MHCI"
"88","TIL1383I","HeteroTCR",0.618955512572534,"MHCI"
"89","R24","HeteroTCR",0.489868287740628,"MHCI"
"90","TCR81-14","HeteroTCR",0.573636363636364,"MHCI"
"91","A11Va","HeteroTCR",0.604047619047619,"MHCI"
"92","TCR-1E6","IEDB",0.41510137149672,"MHCI"
"93","NYE-S1","IEDB",0.61180966469428,"MHCI"
"94","868Z11","IEDB",0.387980085348506,"MHCI"
"95","TCR6","IEDB",0.467746913580247,"MHCI"
"96","TCR7","IEDB",0.485,"MHCI"
"97","A6","IEDB",0.556373626373626,"MHCI"
"98","T1","IEDB",0.449887387387387,"MHCI"
"99","FLT3DY","IEDB",0.583066361556064,"MHCI"
"100","A23","IEDB",0.552952755905512,"MHCI"
"101","TCR2-T","IEDB",0.4772579597141,"MHCI"
"102","a3a","IEDB",0.60099220411056,"MHCI"
"103","TIL1383I","IEDB",0.356866537717602,"MHCI"
"104","R24","IEDB",0.737335359675785,"MHCI"
"105","TCR81-14","IEDB",0.41030303030303,"MHCI"
"106","APN-TCR","IEDB",0.50642523364486,"MHCI"
"107","EWW-TCR","IEDB",0.613875404530744,"MHCI"
"108","A11Va","IEDB",0.438928571428571,"MHCI"
"109","TCR-F5","IEDB",0.625058685446009,"MHCII"
"110","TCR-3598-2","IEDB",0.577080602883355,"MHCII"
"111","MBP-TCR","IEDB",0.402992277992278,"MHCII"
"112","B3K508","IEDB",0.4859375,"MHCII"
"113","TCR-1E6","ImRex",0.645497912939773,"MHCI"
"114","18A2","ImRex",0.665389876880985,"MHCI"
"115","NYE-S1","ImRex",0.461785009861933,"MHCI"
"116","868Z11","ImRex",0.671171171171171,"MHCI"
"117","TCR6","ImRex",0.60216049382716,"MHCI"
"118","TCR7","ImRex",0.67,"MHCI"
"119","A6","ImRex",0.492307692307692,"MHCI"
"120","A23","ImRex",0.603937007874016,"MHCI"
"121","TCR2-T","ImRex",0.506497725795971,"MHCI"
"122","a3a","ImRex",0.547484053862509,"MHCI"
"123","TIL1383I","ImRex",0.492263056092843,"MHCI"
"124","R24","ImRex",0.553698074974671,"MHCI"
"125","TCR81-14","ImRex",0.406363636363636,"MHCI"
"126","A11Va","ImRex",0.413095238095238,"MHCI"
"127","TCR-1E6","iTCep",0.413536076326774,"MHCI"
"128","18A2","iTCep",0.519562243502052,"MHCI"
"129","NYE-S1","iTCep",0.495931952662722,"MHCI"
"130","868Z11","iTCep",0.365931721194879,"MHCI"
"131","TCR6","iTCep",0.419753086419753,"MHCI"
"132","TCR7","iTCep",0.465,"MHCI"
"133","A6","iTCep",0.489450549450549,"MHCI"
"134","A23","iTCep",0.464370078740157,"MHCI"
"135","TCR2-T","iTCep",0.553281351526966,"MHCI"
"136","a3a","iTCep",0.71367824238129,"MHCI"
"137","TIL1383I","iTCep",0.581721470019342,"MHCI"
"138","R24","iTCep",0.485309017223911,"MHCI"
"139","TCR81-14","iTCep",0.528787878787879,"MHCI"
"140","A11Va","iTCep",0.456428571428571,"MHCI"
"141","TCR-1E6","NetTCR-2.2",0.377161598091831,"MHCI"
"142","18A2","NetTCR-2.2",0.561696306429549,"MHCI"
"143","NYE-S1","NetTCR-2.2",0.431213017751479,"MHCI"
"144","868Z11","NetTCR-2.2",0.414414414414414,"MHCI"
"145","TCR6","NetTCR-2.2",0.357716049382716,"MHCI"
"146","TCR7","NetTCR-2.2",0.388095238095238,"MHCI"
"147","A6","NetTCR-2.2",0.563516483516484,"MHCI"
"148","A23","NetTCR-2.2",0.440157480314961,"MHCI"
"149","a3a","NetTCR-2.2",0.353649893692417,"MHCI"
"150","TIL1383I","NetTCR-2.2",0.413926499032882,"MHCI"
"151","R24","NetTCR-2.2",0.474164133738602,"MHCI"
"152","TCR81-14","NetTCR-2.2",0.50969696969697,"MHCI"
"153","A11Va","NetTCR-2.2",0.566904761904762,"MHCI"
"154","TCR-1E6","NetTepi-1.0",0.41711389385808,"MHCI"
"155","NYE-S1","NetTepi-1.0",0.611193293885602,"MHCI"
"156","868Z11","NetTepi-1.0",0.385253674727359,"MHCI"
"157","TCR6","NetTepi-1.0",0.467438271604938,"MHCI"
"158","TCR7","NetTepi-1.0",0.482619047619048,"MHCI"
"159","A6","NetTepi-1.0",0.555934065934066,"MHCI"
"160","T1","NetTepi-1.0",0.45213963963964,"MHCI"
"161","FLT3DY","NetTepi-1.0",0.583180778032037,"MHCI"
"162","A23","NetTepi-1.0",0.553149606299213,"MHCI"
"163","TCR2-T","NetTepi-1.0",0.480181936322287,"MHCI"
"164","a3a","NetTepi-1.0",0.601169383416017,"MHCI"
"165","TIL1383I","NetTepi-1.0",0.357350096711799,"MHCI"
"166","R24","NetTepi-1.0",0.737841945288754,"MHCI"
"167","TCR81-14","NetTepi-1.0",0.409848484848485,"MHCI"
"168","APN-TCR","NetTepi-1.0",0.508080218068536,"MHCI"
"169","EWW-TCR","NetTepi-1.0",0.608919902912621,"MHCI"
"170","A11Va","NetTepi-1.0",0.439166666666667,"MHCI"
"171","TCR-F5","pMTnet-Omni",0.562676056338028,"MHCII"
"172","TCR-3598-2","pMTnet-Omni",0.624098951507208,"MHCII"
"173","B3K508","pMTnet-Omni",0.55625,"MHCII"
"174","TCR-1E6","pMTnet-Omni",0.479725700655933,"MHCI"
"175","18A2","pMTnet-Omni",0.501778385772914,"MHCI"
"176","NYE-S1","pMTnet-Omni",0.443293885601578,"MHCI"
"177","868Z11","pMTnet-Omni",0.500237079184448,"MHCI"
"178","TCR6","pMTnet-Omni",0.459567901234568,"MHCI"
"179","TCR7","pMTnet-Omni",0.499047619047619,"MHCI"
"180","A6","pMTnet-Omni",0.533626373626374,"MHCI"
"181","A23","pMTnet-Omni",0.551574803149606,"MHCI"
"182","a3a","pMTnet-Omni",0.258681785967399,"MHCI"
"183","TIL1383I","pMTnet-Omni",0.544487427466151,"MHCI"
"184","R24","pMTnet-Omni",0.65450861195542,"MHCI"
"185","TCR81-14","pMTnet-Omni",0.654848484848485,"MHCI"
"186","A11Va","pMTnet-Omni",0.522142857142857,"MHCI"
"187","TCR2-T","pMTnet-Omni",0.478395061728395,"MHCI"
"188","TCR-1E6","PRIME-2.1",0.53861061419201,"MHCI"
"189","18A2","PRIME-2.1",0.583036935704514,"MHCI"
"190","NYE-S1","PRIME-2.1",0.383629191321499,"MHCI"
"191","868Z11","PRIME-2.1",0.674016121384542,"MHCI"
"192","TCR6","PRIME-2.1",0.408024691358025,"MHCI"
"193","TCR7","PRIME-2.1",0.334285714285714,"MHCI"
