TCR,AUC_within_TCR,AUC_LOO_TCR
a3a,0.9031941618052729,0.5844157378175805
TIL1383I,0.7698642468642468,0.6920993899717304
TCR81-14,0.7894307544307544,0.6245093795093795
18A2,0.8516465469228628,0.8240848982299052
NYE-S1,0.8268583268583269,0.6225775648852572
TCR6,0.8091426929146228,0.6393447914145082
TCR7,0.8238292931594368,0.6985411942554801
A6,0.8223641984871932,0.7153806553806555
T1,0.8653722189317294,0.7591758425091758
FLT3DY,0.8505576987777598,0.6413143843590671
A23,0.8407840605541754,0.8446671438797423
TCR2-T,0.7904558581515103,0.6159040572358815
R24,0.8716030677141788,0.7308191676986003
868Z11,0.8127930192544854,0.80049786628734
TCR-1E6,0.7645676284997736,0.6691810773206122
APN-TCR,0.787278333001469,0.5646192093573325
EWW-TCR,0.8335432608917458,0.5769012944983819
A11Va,0.84166594130575,0.666906746031746
TCR-F5,0.9022150354514631,
TCR-3598-2,0.8671282393644482,
MBP-TCR,0.9283261672967555,
B3K508,0.7775236491903159,
