"","tcr","AUC"
"1","a3a",0.854761904761905
"2","TIL1383I",0.839047619047619
"3","TCR81-14",0.707554945054945
"4","18A2",0.758818342151676
"5","NYE-S1",0.658143939393939
"6","TCR6",0.7004477004477
"7","TCR7",0.657142857142857
"8","A6",0.734508547008547
"9","T1",0.748737373737374
"10","FLT3DY",0.691449275362319
"11","A23",0.742307692307692
"12","TCR2-T",0.697222222222222
"13","R24",0.825252525252525
"14","868Z11",0.75
"15","TCR-1E6",0.740988480118915
"16","APN-TCR",0.706140350877193
"17","EWW-TCR",0.793728956228956
"18","A11Va",0.820160608622147
"19","TCR-F5",0.86758009432428
"20","TCR-3598-2",0.845409753645048
"21","MBP-TCR",0.868376068376068
"22","B3K508",0.720987654320988
