,Spearman r,aa_matrix,tcr
0,0.8418346601251677,hamming,A11Vc
1,0.659251080541987,blosum62,A11Vc
2,0.6753507814277918,blosum30,A11Vc
3,0.6700646313606475,blosum35,A11Vc
4,0.6695150498860014,blosum40,A11Vc
5,0.7144540450091071,blosum45,A11Vc
6,0.6706317470879584,blosum50,A11Vc
7,0.6774945358675725,blosum55,A11Vc
8,0.6686264760029863,blosum60,A11Vc
9,0.6612389423166777,blosum65,A11Vc
10,0.6486618524821558,blosum70,A11Vc
11,0.6613698619134974,blosum75,A11Vc
12,0.6958688394170126,blosum80,A11Vc
13,0.7010152011967324,blosum85,A11Vc
14,0.7056829065751561,blosum90,A11Vc
15,0.7116300058075786,blosum100,A11Vc
16,0.7164828401145673,pam10,A11Vc
17,0.7070507682761561,pam20,A11Vc
18,0.6911148522420019,pam30,A11Vc
19,0.6995880689191796,pam40,A11Vc
20,0.6844216084982684,pam50,A11Vc
21,0.6832140400741089,pam60,A11Vc
22,0.6780814300495044,pam70,A11Vc
23,0.6779756422217933,pam80,A11Vc
24,0.6759479033548372,pam90,A11Vc
25,0.655282972476806,pam100,A11Vc
26,0.6618645834952599,pam110,A11Vc
27,0.6590220791200782,pam120,A11Vc
28,0.6553049437800069,pam130,A11Vc
29,0.6586667534387722,pam140,A11Vc
30,0.6367079813498931,pam150,A11Vc
31,0.637925695069229,pam160,A11Vc
32,0.6185469123386953,pam170,A11Vc
33,0.6145307783423323,pam180,A11Vc
34,0.6498559007843578,pam190,A11Vc
35,0.6275846250795036,pam200,A11Vc
36,0.615484308722007,pam210,A11Vc
37,0.6108047522169451,pam220,A11Vc
38,0.6160149949405561,pam230,A11Vc
39,0.5976179680378501,pam240,A11Vc
40,0.6091399341157029,pam250,A11Vc
41,0.5939848166317288,pam260,A11Vc
42,0.5982058678320286,pam270,A11Vc
43,0.612220702009874,pam280,A11Vc
44,0.6053396923762546,pam290,A11Vc
45,0.5969015678760494,pam300,A11Vc
46,0.592153304872287,pam310,A11Vc
47,0.576606145441685,pam320,A11Vc
48,0.575766639568339,pam330,A11Vc
49,0.5826838962198858,pam340,A11Vc
50,0.5773936027877447,pam350,A11Vc
51,0.5595092864290968,pam360,A11Vc
52,0.5553597280171874,pam370,A11Vc
53,0.5499476978237301,pam380,A11Vc
54,0.5367396470255759,pam390,A11Vc
55,0.5576839907416467,pam400,A11Vc
56,0.5477111030563371,pam410,A11Vc
57,0.5342095999901213,pam420,A11Vc
58,0.5310631669560463,pam430,A11Vc
59,0.5451364369014702,pam440,A11Vc
60,0.4851127229844264,pam450,A11Vc
61,0.48563597989275487,pam460,A11Vc
62,0.5452311841846615,pam470,A11Vc
63,0.47894385223335956,pam480,A11Vc
64,0.48501356163151377,pam490,A11Vc
65,0.48728635857253194,pam500,A11Vc
66,0.6091313571016158,dayhoff,A11Vc
67,0.6106810537391048,gonnet,A11Vc
