,Spearman r,aa_matrix,tcr
0,0.5353036366309281,hamming,NYE-S2
1,0.32578790546876757,blosum62,NYE-S2
2,0.35296984028184764,blosum30,NYE-S2
3,0.35108253301291126,blosum35,NYE-S2
4,0.3488089732246317,blosum40,NYE-S2
5,0.3717518907659876,blosum45,NYE-S2
6,0.33693658328417814,blosum50,NYE-S2
7,0.3451966951365125,blosum55,NYE-S2
8,0.3170313410100032,blosum60,NYE-S2
9,0.32909743453148943,blosum65,NYE-S2
10,0.3163981146876335,blosum70,NYE-S2
11,0.31095189041732374,blosum75,NYE-S2
12,0.34038792522364875,blosum80,NYE-S2
13,0.3215938597180198,blosum85,NYE-S2
14,0.3338640131795708,blosum90,NYE-S2
15,0.36182565916969417,blosum100,NYE-S2
16,0.35070510160932084,pam10,NYE-S2
17,0.3751040703704104,pam20,NYE-S2
18,0.35454721450559656,pam30,NYE-S2
19,0.37101908497783004,pam40,NYE-S2
20,0.3685685821186712,pam50,NYE-S2
21,0.352930324082119,pam60,NYE-S2
22,0.33880160416247584,pam70,NYE-S2
23,0.3530139571171397,pam80,NYE-S2
24,0.34823843560692114,pam90,NYE-S2
25,0.34682260139676446,pam100,NYE-S2
26,0.3351297747149319,pam110,NYE-S2
27,0.3341192943042251,pam120,NYE-S2
28,0.3246121826678509,pam130,NYE-S2
29,0.3375306029853381,pam140,NYE-S2
30,0.3424068013232397,pam150,NYE-S2
31,0.34935113106382,pam160,NYE-S2
32,0.3188066999918179,pam170,NYE-S2
33,0.3223599893284036,pam180,NYE-S2
34,0.29692676069774826,pam190,NYE-S2
35,0.2523609340894436,pam200,NYE-S2
36,0.281843854788764,pam210,NYE-S2
37,0.2951681037597792,pam220,NYE-S2
38,0.28327172036548787,pam230,NYE-S2
39,0.2813451084652401,pam240,NYE-S2
40,0.29868626705204665,pam250,NYE-S2
41,0.22415442665734356,pam260,NYE-S2
42,0.26509246623340577,pam270,NYE-S2
43,0.2755736116725922,pam280,NYE-S2
44,0.27939029072764743,pam290,NYE-S2
45,0.21267857346956479,pam300,NYE-S2
46,0.2052040213965876,pam310,NYE-S2
47,0.20716569734819013,pam320,NYE-S2
48,0.1981319185573408,pam330,NYE-S2
49,0.21125968283673088,pam340,NYE-S2
50,0.19748207667969747,pam350,NYE-S2
51,0.19806422659133455,pam360,NYE-S2
52,0.20307052315491098,pam370,NYE-S2
53,0.20621267257363002,pam380,NYE-S2
54,0.2033642433570455,pam390,NYE-S2
55,0.20917324190698322,pam400,NYE-S2
56,0.19417465395094705,pam410,NYE-S2
57,0.18378329292733453,pam420,NYE-S2
58,0.1885833865656364,pam430,NYE-S2
59,0.18048975194175246,pam440,NYE-S2
60,0.19201019517544277,pam450,NYE-S2
61,0.18622910063626122,pam460,NYE-S2
62,0.18876349500131298,pam470,NYE-S2
63,0.18968797308859014,pam480,NYE-S2
64,0.18753689326299905,pam490,NYE-S2
65,0.18969824462264473,pam500,NYE-S2
66,0.29868626705204665,dayhoff,NYE-S2
67,0.24790282620237059,gonnet,NYE-S2
