,Spearman r,aa_matrix,tcr
0,0.8709159512012589,hamming,R25
1,0.7702023776999913,blosum62,R25
2,0.779025062092845,blosum30,R25
3,0.7853695211188961,blosum35,R25
4,0.766565143170309,blosum40,R25
5,0.763922106169726,blosum45,R25
6,0.7623789919677698,blosum50,R25
7,0.7536582299560484,blosum55,R25
8,0.769095797174076,blosum60,R25
9,0.7612828789047533,blosum65,R25
10,0.7536200978095354,blosum70,R25
11,0.7714763065812452,blosum75,R25
12,0.7685574194369019,blosum80,R25
13,0.7850546904024475,blosum85,R25
14,0.7797546975570363,blosum90,R25
15,0.7806926428675187,blosum100,R25
16,0.7663223803051693,pam10,R25
17,0.7596109932111198,pam20,R25
18,0.7630782880007377,pam30,R25
19,0.7619086156835356,pam40,R25
20,0.7539461154717795,pam50,R25
21,0.7401981650457906,pam60,R25
22,0.7442856024874459,pam70,R25
23,0.7374628882303782,pam80,R25
24,0.7243355114105529,pam90,R25
25,0.7327089639695833,pam100,R25
26,0.7223796407214482,pam110,R25
27,0.7021418524800067,pam120,R25
28,0.6981032757745526,pam130,R25
29,0.7013364719080748,pam140,R25
30,0.6913648528084735,pam150,R25
31,0.6773268395882683,pam160,R25
32,0.6797578551937085,pam170,R25
33,0.6985428494737217,pam180,R25
34,0.7096987695285213,pam190,R25
35,0.6420972088469346,pam200,R25
36,0.6491951590175402,pam210,R25
37,0.6333875699980418,pam220,R25
38,0.6447663217262021,pam230,R25
39,0.6986978134439642,pam240,R25
40,0.6898953337625938,pam250,R25
41,0.4059885487947752,pam260,R25
42,0.6306740590537531,pam270,R25
43,0.6616316458556077,pam280,R25
44,0.6739193105178902,pam290,R25
45,0.3998947915663433,pam300,R25
46,0.39584515372398266,pam310,R25
47,0.39745255760140774,pam320,R25
48,0.3793656134839914,pam330,R25
49,0.36553557748459553,pam340,R25
50,0.3117236390519891,pam350,R25
51,0.30495571078399536,pam360,R25
52,0.2987221588582455,pam370,R25
53,0.2883538571000674,pam380,R25
54,0.2897166459851498,pam390,R25
55,0.2828711093395409,pam400,R25
56,0.20690995355005332,pam410,R25
57,0.20638826776887703,pam420,R25
58,0.20263246384185213,pam430,R25
59,0.19437834865344294,pam440,R25
60,0.2142426289719755,pam450,R25
61,0.20854392252742518,pam460,R25
62,0.19823967452748675,pam470,R25
63,0.2003765664388316,pam480,R25
64,0.21727362848638992,pam490,R25
65,0.21734710606644403,pam500,R25
66,0.6898953337625938,dayhoff,R25
67,0.6717408734559965,gonnet,R25
