,Spearman r,aa_matrix,tcr
0,0.3746712802005506,hamming,TCR74-34
1,0.3064873881238693,blosum62,TCR74-34
2,0.3410114309114793,blosum30,TCR74-34
3,0.3481176384431996,blosum35,TCR74-34
4,0.3376731369350122,blosum40,TCR74-34
5,0.3644453427306217,blosum45,TCR74-34
6,0.3019294067689696,blosum50,TCR74-34
7,0.3091402047620493,blosum55,TCR74-34
8,0.2903669621953054,blosum60,TCR74-34
9,0.2690184048605177,blosum65,TCR74-34
10,0.2874096462217685,blosum70,TCR74-34
11,0.27334432147870574,blosum75,TCR74-34
12,0.2865584753729965,blosum80,TCR74-34
13,0.3266633864109053,blosum85,TCR74-34
14,0.32133940893341845,blosum90,TCR74-34
15,0.3209464812297969,blosum100,TCR74-34
16,0.24745911034397347,pam10,TCR74-34
17,0.24607867776819425,pam20,TCR74-34
18,0.29246981999993305,pam30,TCR74-34
19,0.23712904963291798,pam40,TCR74-34
20,0.2877959881373078,pam50,TCR74-34
21,0.26151352779503134,pam60,TCR74-34
22,0.2909035881306771,pam70,TCR74-34
23,0.2994032748630152,pam80,TCR74-34
24,0.2456160648139059,pam90,TCR74-34
25,0.24948512520433191,pam100,TCR74-34
26,0.28925829344042725,pam110,TCR74-34
27,0.2669374576742481,pam120,TCR74-34
28,0.27648967414697767,pam130,TCR74-34
29,0.2662285843399515,pam140,TCR74-34
30,0.2642267210377653,pam150,TCR74-34
31,0.2714042025194675,pam160,TCR74-34
32,0.2360064250983059,pam170,TCR74-34
33,0.23431787349752448,pam180,TCR74-34
34,0.2137524874817344,pam190,TCR74-34
35,0.22601920569538086,pam200,TCR74-34
36,0.24235371083059504,pam210,TCR74-34
37,0.21565509437098815,pam220,TCR74-34
38,0.2174560119230947,pam230,TCR74-34
39,0.19062016719451907,pam240,TCR74-34
40,0.23596899661058884,pam250,TCR74-34
41,0.20363282001541855,pam260,TCR74-34
42,0.21836656910230232,pam270,TCR74-34
43,0.20737422186769874,pam280,TCR74-34
44,0.2044464803830286,pam290,TCR74-34
45,0.182587506983387,pam300,TCR74-34
46,0.18803118069528646,pam310,TCR74-34
47,0.21279522050329489,pam320,TCR74-34
48,0.21886942874475604,pam330,TCR74-34
49,0.21567692952053003,pam340,TCR74-34
50,0.2005512875736796,pam350,TCR74-34
51,0.18693296824239442,pam360,TCR74-34
52,0.18888673635842002,pam370,TCR74-34
53,0.17613324138563147,pam380,TCR74-34
54,0.2145086339928978,pam390,TCR74-34
55,0.19842246329331478,pam400,TCR74-34
56,0.18881633568113987,pam410,TCR74-34
57,0.17831656261434672,pam420,TCR74-34
58,0.19700589749531777,pam430,TCR74-34
59,0.20331485061281424,pam440,TCR74-34
60,0.20147934808819423,pam450,TCR74-34
61,0.17373241480453733,pam460,TCR74-34
62,0.20570499332290648,pam470,TCR74-34
63,0.20620338241733563,pam480,TCR74-34
64,0.18920181644762585,pam490,TCR74-34
65,0.1667475681975019,pam500,TCR74-34
66,0.23596899661058884,dayhoff,TCR74-34
67,0.25735473041169166,gonnet,TCR74-34
