,Spearman r,aa_matrix,tcr
0,0.5465689365421599,hamming,YAe10-20.3
1,0.46913414899960343,blosum62,YAe10-20.3
2,0.6188208864962235,blosum30,YAe10-20.3
3,0.5459369999088582,blosum35,YAe10-20.3
4,0.5038505783213376,blosum40,YAe10-20.3
5,0.47255815845370125,blosum45,YAe10-20.3
6,0.49423252267877193,blosum50,YAe10-20.3
7,0.4748534284454384,blosum55,YAe10-20.3
8,0.4654810570980734,blosum60,YAe10-20.3
9,0.44784552518431797,blosum65,YAe10-20.3
10,0.46414809853855077,blosum70,YAe10-20.3
11,0.4605994218866224,blosum75,YAe10-20.3
12,0.43240137164612025,blosum80,YAe10-20.3
13,0.4817728432201057,blosum85,YAe10-20.3
14,0.48351080021949605,blosum90,YAe10-20.3
15,0.49825836645155136,blosum100,YAe10-20.3
16,0.3388828973802194,pam10,YAe10-20.3
17,0.35349969805361636,pam20,YAe10-20.3
18,0.36931512480375145,pam30,YAe10-20.3
19,0.3403302803143498,pam40,YAe10-20.3
20,0.3611715287302053,pam50,YAe10-20.3
21,0.346034468611222,pam60,YAe10-20.3
22,0.3536167924959548,pam70,YAe10-20.3
23,0.36897394381176635,pam80,YAe10-20.3
24,0.3274407764570535,pam90,YAe10-20.3
25,0.36959851829151597,pam100,YAe10-20.3
26,0.35412726318964904,pam110,YAe10-20.3
27,0.3632392223447778,pam120,YAe10-20.3
28,0.32043752239667317,pam130,YAe10-20.3
29,0.34458639573533045,pam140,YAe10-20.3
30,0.34565019470131425,pam150,YAe10-20.3
31,0.3285213377559914,pam160,YAe10-20.3
32,0.3450703636182067,pam170,YAe10-20.3
33,0.3552622593058703,pam180,YAe10-20.3
34,0.3245585532860755,pam190,YAe10-20.3
35,0.3375826493656743,pam200,YAe10-20.3
36,0.33960464573863225,pam210,YAe10-20.3
37,0.33793155156866217,pam220,YAe10-20.3
38,0.3461922444073772,pam230,YAe10-20.3
39,0.31874854072500824,pam240,YAe10-20.3
40,0.3373125748671601,pam250,YAe10-20.3
41,0.33102366135689704,pam260,YAe10-20.3
42,0.3388192613331219,pam270,YAe10-20.3
43,0.2994972492313843,pam280,YAe10-20.3
44,0.3119004958547766,pam290,YAe10-20.3
45,0.30848167856098746,pam300,YAe10-20.3
46,0.3071500719331145,pam310,YAe10-20.3
47,0.2960402306996738,pam320,YAe10-20.3
48,0.30754158419342403,pam330,YAe10-20.3
49,0.3100176321945968,pam340,YAe10-20.3
50,0.3300431311010638,pam350,YAe10-20.3
51,0.32087827965678584,pam360,YAe10-20.3
52,0.3276389362474573,pam370,YAe10-20.3
53,0.30612057017616834,pam380,YAe10-20.3
54,0.29349666659591817,pam390,YAe10-20.3
55,0.32189954618827293,pam400,YAe10-20.3
56,0.2735034279731652,pam410,YAe10-20.3
57,0.2863810732298623,pam420,YAe10-20.3
58,0.3019275546039337,pam430,YAe10-20.3
59,0.30084723237615574,pam440,YAe10-20.3
60,0.2810994398309442,pam450,YAe10-20.3
61,0.3095479426139841,pam460,YAe10-20.3
62,0.30237167559088973,pam470,YAe10-20.3
63,0.300329302114644,pam480,YAe10-20.3
64,0.28831161752807677,pam490,YAe10-20.3
65,0.2965607649733526,pam500,YAe10-20.3
66,0.3373125748671601,dayhoff,YAe10-20.3
67,0.35452359692123925,gonnet,YAe10-20.3
