,Spearman r,aa_matrix,tcr
0,0.746879718088113,hamming,a3a
1,0.6394004298399297,blosum62,a3a
2,0.6362258802261704,blosum30,a3a
3,0.6482247262822604,blosum35,a3a
4,0.6423731360766853,blosum40,a3a
5,0.6537194968811407,blosum45,a3a
6,0.642532750217908,blosum50,a3a
7,0.6449119113939764,blosum55,a3a
8,0.640545770484159,blosum60,a3a
9,0.6395859210283444,blosum65,a3a
10,0.6255866190064951,blosum70,a3a
11,0.6217438038544589,blosum75,a3a
12,0.6539426472886917,blosum80,a3a
13,0.6601327200188096,blosum85,a3a
14,0.6609296071953377,blosum90,a3a
15,0.6607205934593513,blosum100,a3a
16,0.6439133844298215,pam10,a3a
17,0.6373048529340462,pam20,a3a
18,0.6379377666061378,pam30,a3a
19,0.6454709582767807,pam40,a3a
20,0.6358793127800018,pam50,a3a
21,0.647753817071308,pam60,a3a
22,0.6282994326317833,pam70,a3a
23,0.6246894677397338,pam80,a3a
24,0.6304999914385435,pam90,a3a
25,0.615473732402027,pam100,a3a
26,0.6003216886649062,pam110,a3a
27,0.601356686932219,pam120,a3a
28,0.6130379640325935,pam130,a3a
29,0.6059788306386309,pam140,a3a
30,0.595960922791996,pam150,a3a
31,0.5975506562633306,pam160,a3a
32,0.6085921240518467,pam170,a3a
33,0.6066179262403464,pam180,a3a
34,0.6100478703910328,pam190,a3a
35,0.6004210495054778,pam200,a3a
36,0.5946222736302927,pam210,a3a
37,0.5854901350945866,pam220,a3a
38,0.5673049646346463,pam230,a3a
39,0.5575345407548824,pam240,a3a
40,0.5709615083327462,pam250,a3a
41,0.5373603663132229,pam260,a3a
42,0.5524358742604798,pam270,a3a
43,0.5555360732436648,pam280,a3a
44,0.5527737906310035,pam290,a3a
45,0.5395883512897168,pam300,a3a
46,0.5496853288512701,pam310,a3a
47,0.5323853568930476,pam320,a3a
48,0.5236843510727087,pam330,a3a
49,0.48123964051043966,pam340,a3a
50,0.5332676323234645,pam350,a3a
51,0.5025981303489021,pam360,a3a
52,0.5007216306541225,pam370,a3a
53,0.46839321183496885,pam380,a3a
54,0.45250733800378784,pam390,a3a
55,0.45851030319025005,pam400,a3a
56,0.4564623378796899,pam410,a3a
57,0.4313105447080103,pam420,a3a
58,0.42910626755825454,pam430,a3a
59,0.43223543994691127,pam440,a3a
60,0.425466433529763,pam450,a3a
61,0.4143801528930033,pam460,a3a
62,0.4350258660279883,pam470,a3a
63,0.40658366258981715,pam480,a3a
64,0.4109547840461974,pam490,a3a
65,0.4153329943466808,pam500,a3a
66,0.5696904859019765,dayhoff,a3a
67,0.5677752354289659,gonnet,a3a
