"","X","corr","aa","tcr"
"1",0,0.60066148188844,"HAMMING","11A10"
"2",1,0.416357500900051,"BLOSUM62","11A10"
"3",2,0.36375917913061,"BLOSUM30","11A10"
"4",3,0.408969104481064,"BLOSUM35","11A10"
"5",4,0.415925397055882,"BLOSUM40","11A10"
"6",5,0.43405087948018,"BLOSUM45","11A10"
"7",6,0.413294090206566,"BLOSUM50","11A10"
"8",7,0.419067369350383,"BLOSUM55","11A10"
"9",8,0.418174629350426,"BLOSUM60","11A10"
"10",9,0.412030108956062,"BLOSUM65","11A10"
"11",10,0.413459775676732,"BLOSUM70","11A10"
"12",11,0.409834068103266,"BLOSUM75","11A10"
"13",12,0.415437491322264,"BLOSUM80","11A10"
"14",13,0.411547668448984,"BLOSUM85","11A10"
"15",14,0.431922509547829,"BLOSUM90","11A10"
"16",15,0.43288389528846,"BLOSUM100","11A10"
"17",16,0.381954454519041,"PAM10","11A10"
"18",17,0.3769645041083,"PAM20","11A10"
"19",18,0.375073215492987,"PAM30","11A10"
"20",19,0.345206327583691,"PAM40","11A10"
"21",20,0.362173456008503,"PAM50","11A10"
"22",21,0.343757214126528,"PAM60","11A10"
"23",22,0.339081437798051,"PAM70","11A10"
"24",23,0.350296396895233,"PAM80","11A10"
"25",24,0.339942087492128,"PAM90","11A10"
"26",25,0.334533166435112,"PAM100","11A10"
"27",26,0.318799283443671,"PAM110","11A10"
"28",27,0.311965874863525,"PAM120","11A10"
"29",28,0.320811433666122,"PAM130","11A10"
"30",29,0.308881585541965,"PAM140","11A10"
"31",30,0.317158432016774,"PAM150","11A10"
"32",31,0.303189398911381,"PAM160","11A10"
"33",32,0.309007258458922,"PAM170","11A10"
"34",33,0.295358197905703,"PAM180","11A10"
"35",34,0.307218529846064,"PAM190","11A10"
"36",35,0.273746490344521,"PAM200","11A10"
"37",36,0.260776333916906,"PAM210","11A10"
"38",37,0.263700643831336,"PAM220","11A10"
"39",38,0.265153580675458,"PAM230","11A10"
"40",39,0.290008030463716,"PAM240","11A10"
"41",40,0.289756911407674,"PAM250","11A10"
"42",41,0.245387978277211,"PAM260","11A10"
"43",42,0.224796648042632,"PAM270","11A10"
"44",43,0.252784750555005,"PAM280","11A10"
"45",44,0.264852539426859,"PAM290","11A10"
"46",45,0.227450647060363,"PAM300","11A10"
"47",46,0.217777590422661,"PAM310","11A10"
"48",47,0.220085304735108,"PAM320","11A10"
"49",48,0.212826994645077,"PAM330","11A10"
"50",49,0.198578763799227,"PAM340","11A10"
"51",50,0.221802316004727,"PAM350","11A10"
"52",51,0.191782342250481,"PAM360","11A10"
"53",52,0.192616030064316,"PAM370","11A10"
"54",53,0.204456174808053,"PAM380","11A10"
"55",54,0.168151897930335,"PAM390","11A10"
"56",55,0.176091079266758,"PAM400","11A10"
"57",56,0.159472646110988,"PAM410","11A10"
"58",57,0.159326269405249,"PAM420","11A10"
"59",58,0.163292330112376,"PAM430","11A10"
"60",59,0.162564413528326,"PAM440","11A10"
"61",60,0.16903949843449,"PAM450","11A10"
"62",61,0.172260827661908,"PAM460","11A10"
"63",62,0.159433628191805,"PAM470","11A10"
"64",63,0.168432253392629,"PAM480","11A10"
"65",64,0.16998873871317,"PAM490","11A10"
"66",65,0.162724851055077,"PAM500","11A10"
"67",66,0.298514225326626,"DAYHOFF","11A10"
"68",67,0.302837002159939,"GONNET","11A10"
"69",0,0.589546941830985,"HAMMING","12A11"
