,WS,NS,NW,type
NLV2,0.76,0.9406031746031746,0.752709243697479,Full_across
NLV3,0.5472380952380952,0.9200249750249749,0.8980964107577011,Full_across
11A10,0.8676046176046176,0.9791919191919192,0.8500040234365176,Full_across
12A11,0.8168367346938774,0.9752414252414253,0.815035403193298,Full_across
18A2,0.8824708994708995,0.9518546365914787,0.7330645363408521,Full_across
7A10,0.7516666666666667,0.9885714285714287,0.9118732193732194,Full_across
13A10,0.6906666666666668,0.9491168091168092,0.8751282051282052,Full_across
14A4,0.790952380952381,0.9448061600235513,0.7863921585660717,Full_across
16A11,0.4333333333333333,0.8915708812260537,0.9195253888207413,Full_across
14D7,0.3666666666666667,0.8936781609195402,0.930723898467433,Full_across
NYE-S1,0.7245347707847708,0.9538073038073038,0.8270299145299145,Full_across
NYE-S2,0.445,0.9355357605357604,0.9315926871482427,Full_across
NYE-S3,0.7573979591836734,0.9452947845804989,0.8491535503090125,Full_across
868Z11,0.6841517857142857,0.9156746031746033,0.903296932808211,Full_across
TCR1,0.7472960304229654,0.9320807033149258,0.7606853959532531,Full_across
TCR2,0.8984313725490196,0.9103675509419455,0.5165686274509804,Full_across
TCR3,0.7001722285650858,0.8502419149477973,0.7599011384856972,Full_across
TCR4,0.7366666666666667,0.9549674550479862,0.82040065681445,Full_across
TCR5,0.8711610562353596,0.9337700013551407,0.6954040404040404,Full_across
TCR6,0.8246794871794872,0.9130274403958614,0.7182261208576998,Full_across
TCR7,0.8000927643784786,0.9428153027196089,0.7652367932819061,Full_across
A6,0.7747348484848484,0.9077731092436976,0.734241482670627,Full_across
B7,0.7846522366522366,0.9372727272727273,0.7507726747999476,Full_across
T1,0.5,0.9863990292243907,0.8356374807987711,Full_across
FLT3DY,0.7136666666666667,0.9519473337493933,0.8867015116843492,Full_across
A23,0.6576190476190475,0.9629388236284788,0.9383603497396601,Full_across
c259,0.623015873015873,0.9344949803283136,0.8990855680103801,Full_across
TCR1-T,0.43493197278911566,0.9177321876118869,0.9590450531089628,Full_across
TCR2-T,0.5863333333333333,0.9509539735626692,0.938391463608855,Full_across
TCR3-T,0.7653439153439154,0.9895926773455377,0.9257398568885984,Full_across
47BE7,0.8243531746031746,0.9465223957329221,0.844089068825911,Full_across
a3a,0.8477655677655678,0.9881288156288157,0.9112920567087233,Full_across
TIL1383I,0.8366837606837608,0.9013819513819513,0.639056277056277,Full_across
R21,0.8209386446886446,0.9517521367521369,0.7992876984126983,Full_across
R23,0.9438562091503269,1.0,0.8455555555555556,Full_across
R24,0.7456313131313131,0.9758193041526375,0.8971717171717172,Full_across
R25,0.9526190476190477,0.9804305555555557,0.8741269841269841,Full_across
R26,0.9223089767375482,0.9866805921351375,0.7583302411873841,Full_across
R27,0.917968253968254,0.9806535947712419,0.8447142857142858,Full_across
R28,0.9253968253968253,0.9709829386299974,0.7592431669637552,Full_across
TCR1-4,0.8054578754578754,0.9515627020038785,0.7868803201754074,Full_across
TCR2-4,0.7865426893368069,0.9702991452991453,0.8797035780124016,Full_across
TCR3-4,0.9215934065934066,0.9984375,0.8676010753951932,Full_across
TCR4-4,0.7750438912938913,0.9918498168498168,0.9284307359307359,Full_across
TCR5-2,0.8563586406784935,0.9892374727668845,0.8572222222222223,Full_across
TCR6-2,0.818451144668536,0.8994565217391304,0.6590909090909091,Full_across
TCR10-4,0.8560377122877123,0.9782967032967033,0.7986927655677656,Full_across
TCR11-4,0.8236080586080586,0.9652930402930403,0.8502014652014651,Full_across
TCR51-10,0.8428160728160728,0.984640522875817,0.9033908733165699,Full_across
TCR52-10,0.7493980048159615,0.9520145903479238,0.8774194516544878,Full_across
TCR54-10,0.7895355801605802,0.9617444284110951,0.8502961726000942,Full_across
TCR65-8,0.8783559577677226,0.9751978021978023,0.8236845507433743,Full_across
TCR66-8,0.9135892616155775,0.98056551635499,0.8265367965367965,Full_across
TCR73-14,0.748034188034188,0.9442080142080143,0.8360212010212011,Full_across
TCR74-14,0.8058960380490869,0.9233333333333335,0.7856163533300429,Full_across
TCR77-14,0.7811284548784548,0.9648035298035298,0.8964660108410107,Full_across
TCR81-14,0.8098977411477412,0.8964502164502164,0.7426706626706626,Full_across
TCR82-14,0.834006919006919,0.9879544740973312,0.8745526695526695,Full_across
TCR83-3,0.7793323996265172,0.9264026822850353,0.7750040849673201,Full_across
TCR84-3,0.899443611943612,0.99375,0.8839579402079402,Full_across
A3-05,0.6557142857142857,0.9508904991948469,0.9064425120772945,Full_across
A3-10,0.7477738095238096,0.961502862014371,0.9109061015710633,Full_across
TCR-1E6,0.7581196581196581,0.9016972994983989,0.8243387992613378,Full_across
APN-TCR,0.6212391774891775,0.913021057889479,0.8651102135559373,Full_across
EWW-TCR,0.8144444444444444,0.9158730158730158,0.7619729765184311,Full_across
A3V,0.8393795093795093,0.971307299732643,0.8137024626784353,Full_across
A11Va,0.8468515070787797,0.957839288978995,0.800683336585486,Full_across
A11Vb,0.7056944444444445,0.9493852724502879,0.8876384923985544,Full_across
A11Vc,0.8794464250346603,0.9731953993718699,0.8725687076177273,Full_across
