"","tcr","within","loo","al"
"1","18A2",0.851603727910917,0.781370476308917,0.809121122554584
"3","NYE-S1",0.809476360830528,0.662130960207883,0.723688660396921
"5","868Z11",0.783116883116883,0.777286685181422,0.748246316480686
"7","TCR3",0.685126483203406,0.573402044654775,0.681889366589444
"9","TCR6",0.779643493761141,0.492134672799161,0.735032457309728
"11","TCR7",0.812268728004022,0.698319475938524,0.781988520684427
"13","A6",0.810622710622711,0.751628551628552,0.750179765598464
"15","T1",0.818518518518519,0.817484150817484,0.8409598670317
"17","FLT3DY",0.796195652173913,0.602934682243366,0.744560594898339
"19","A23",0.8468,0.855899546647578,0.814207205175714
"21","TCR2-T",0.775026245895811,0.608270976126098,0.696107992640778
