"","tcr","AUC","type"
"1","a3a",0.890174727535839,"pTEAM_within"
"2","TIL1383I",0.786641395641396,"pTEAM_within"
"3","TCR81-14",0.76897036990787,"pTEAM_within"
"4","18A2",0.832026884340481,"pTEAM_within"
"5","NYE-S1",0.778306846509972,"pTEAM_within"
"6","TCR6",0.80219302931474,"pTEAM_within"
"7","TCR7",0.740399312593434,"pTEAM_within"
"8","A6",0.700389928884247,"pTEAM_within"
"9","T1",0.801161867315437,"pTEAM_within"
"10","FLT3DY",0.828220331814201,"pTEAM_within"
"11","A23",0.676030751921556,"pTEAM_within"
"12","TCR2-T",0.791451252853427,"pTEAM_within"
"13","R24",0.866908770242104,"pTEAM_within"
"14","868Z11",0.729266929725106,"pTEAM_within"
"15","TCR-1E6",0.78160936111558,"pTEAM_within"
"16","APN-TCR",0.739871011339213,"pTEAM_within"
"17","EWW-TCR",0.833306167737986,"pTEAM_within"
"18","A11Va",0.81311715711654,"pTEAM_within"
"19","TCR-F5",0.882819008264222,"pTEAM_within"
"20","TCR-3598-2",0.864412027737682,"pTEAM_within"
"21","MBP-TCR",0.878743644291438,"pTEAM_within"
"22","B3K508",0.714537638287638,"pTEAM_within"
"23","a3a",0.577250724029014,"pTEAM_LOO_without_seq"
"24","TIL1383I",0.556188547711154,"pTEAM_LOO_without_seq"
"25","TCR81-14",0.663389807162534,"pTEAM_LOO_without_seq"
"26","18A2",0.677517258931696,"pTEAM_LOO_without_seq"
"27","NYE-S1",0.603699627972611,"pTEAM_LOO_without_seq"
"28","TCR6",0.604777263374486,"pTEAM_LOO_without_seq"
"29","TCR7",0.565781490015361,"pTEAM_LOO_without_seq"
"30","A6",0.636586284086284,"pTEAM_LOO_without_seq"
"31","T1",0.744755785196962,"pTEAM_LOO_without_seq"
"32","FLT3DY",0.599177896431901,"pTEAM_LOO_without_seq"
"33","A23",0.706189851268591,"pTEAM_LOO_without_seq"
"34","TCR2-T",0.579672947801603,"pTEAM_LOO_without_seq"
"35","R24",0.624618141905376,"pTEAM_LOO_without_seq"
"36","868Z11",0.673096679675627,"pTEAM_LOO_without_seq"
"37","TCR-1E6",0.581634746922025,"pTEAM_LOO_without_seq"
"38","APN-TCR",0.541621235721703,"pTEAM_LOO_without_seq"
"39","EWW-TCR",0.575664536829585,"pTEAM_LOO_without_seq"
"40","A11Va",0.518715361850955,"pTEAM_LOO_without_seq"
"41","18A2",0.61149481966935,"pTEAM_LOO_with_seq"
"42","NYE-S1",0.594780792482481,"pTEAM_LOO_with_seq"
"43","868Z11",0.682034260981629,"pTEAM_LOO_with_seq"
"44","TCR6",0.614139403292181,"pTEAM_LOO_with_seq"
"45","TCR7",0.574566692268305,"pTEAM_LOO_with_seq"
"46","A6",0.612030932030932,"pTEAM_LOO_with_seq"
"47","A23",0.717883702037245,"pTEAM_LOO_with_seq"
"48","TCR2-T",0.561877301277886,"pTEAM_LOO_with_seq"
"49","a3a",0.595250829024158,"pTEAM_LOO_with_seq"
"50","TIL1383I",0.576654174725983,"pTEAM_LOO_with_seq"
"51","R24",0.64759295078444,"pTEAM_LOO_with_seq"
"52","TCR81-14",0.658566115702479,"pTEAM_LOO_with_seq"
"53","TCR-1E6",0.471485028119775,"pTEAM_LOO_with_seq"
"54","A11Va",0.490078356201238,"pTEAM_LOO_with_seq"
