"","tcr","AUC","type","test"
"1","a3a",0.890174727535839,"pTEAM","Within TCR"
"2","TIL1383I",0.786641395641396,"pTEAM","Within TCR"
"3","TCR81-14",0.76897036990787,"pTEAM","Within TCR"
"4","18A2",0.832026884340481,"pTEAM","Within TCR"
"5","NYE-S1",0.778306846509972,"pTEAM","Within TCR"
"6","TCR6",0.80219302931474,"pTEAM","Within TCR"
"7","TCR7",0.740399312593434,"pTEAM","Within TCR"
"8","A6",0.700389928884247,"pTEAM","Within TCR"
"9","T1",0.801161867315437,"pTEAM","Within TCR"
"10","FLT3DY",0.828220331814201,"pTEAM","Within TCR"
"11","A23",0.676030751921556,"pTEAM","Within TCR"
"12","TCR2-T",0.791451252853427,"pTEAM","Within TCR"
"13","R24",0.866908770242104,"pTEAM","Within TCR"
"14","868Z11",0.729266929725106,"pTEAM","Within TCR"
"15","TCR-1E6",0.78160936111558,"pTEAM","Within TCR"
"16","APN-TCR",0.739871011339213,"pTEAM","Within TCR"
"17","EWW-TCR",0.833306167737986,"pTEAM","Within TCR"
"18","A11Va",0.81311715711654,"pTEAM","Within TCR"
"19","TCR-F5",0.882819008264222,"pTEAM","Within TCR"
"20","TCR-3598-2",0.864412027737682,"pTEAM","Within TCR"
"21","MBP-TCR",0.878743644291438,"pTEAM","Within TCR"
"22","B3K508",0.714537638287638,"pTEAM","Within TCR"
"23","a3a",0.577250724029014,"pTEAM","LOO TCR"
"24","TIL1383I",0.556188547711154,"pTEAM","LOO TCR"
"25","TCR81-14",0.663389807162534,"pTEAM","LOO TCR"
"26","18A2",0.677517258931696,"pTEAM","LOO TCR"
"27","NYE-S1",0.603699627972611,"pTEAM","LOO TCR"
"28","TCR6",0.604777263374486,"pTEAM","LOO TCR"
"29","TCR7",0.565781490015361,"pTEAM","LOO TCR"
"30","A6",0.636586284086284,"pTEAM","LOO TCR"
"31","T1",0.744755785196962,"pTEAM","LOO TCR"
"32","FLT3DY",0.599177896431901,"pTEAM","LOO TCR"
"33","A23",0.706189851268591,"pTEAM","LOO TCR"
"34","TCR2-T",0.579672947801603,"pTEAM","LOO TCR"
"35","R24",0.624618141905376,"pTEAM","LOO TCR"
"36","868Z11",0.673096679675627,"pTEAM","LOO TCR"
"37","TCR-1E6",0.581634746922025,"pTEAM","LOO TCR"
"38","APN-TCR",0.541621235721703,"pTEAM","LOO TCR"
"39","EWW-TCR",0.575664536829585,"pTEAM","LOO TCR"
"40","A11Va",0.518715361850955,"pTEAM","LOO TCR"
"41","18A2",0.61149481966935,"pTEAM+TCR","LOO TCR"
"42","NYE-S1",0.594780792482481,"pTEAM+TCR","LOO TCR"
"43","868Z11",0.682034260981629,"pTEAM+TCR","LOO TCR"
"44","TCR6",0.614139403292181,"pTEAM+TCR","LOO TCR"
"45","TCR7",0.574566692268305,"pTEAM+TCR","LOO TCR"
"46","A6",0.612030932030932,"pTEAM+TCR","LOO TCR"
"47","A23",0.717883702037245,"pTEAM+TCR","LOO TCR"
"48","TCR2-T",0.561877301277886,"pTEAM+TCR","LOO TCR"
"49","a3a",0.595250829024158,"pTEAM+TCR","LOO TCR"
"50","TIL1383I",0.576654174725983,"pTEAM+TCR","LOO TCR"
