"","tcr","AUC"
"1","a3a",0.903159340659341
"2","TIL1383I",0.698484848484848
"3","TCR81-14",0.722590488215488
"4","18A2",0.739649122807018
"5","NYE-S1",0.701736111111111
"6","TCR6",0.686609686609687
"7","TCR7",0.704081632653061
"8","A6",0.634469696969697
"9","T1",0.844827586206897
"10","FLT3DY",0.778314393939394
"11","A23",0.633597883597884
"12","TCR2-T",0.71929347826087
"13","R24",0.76738683127572
"14","868Z11",0.579778439153439
"15","TCR-1E6",0.67798353909465
"16","APN-TCR",0.664962121212121
"17","EWW-TCR",0.775485008818342
"18","A11Va",0.805700231481481
"19","TCR-F5",0.829962047803618
"20","TCR-3598-2",0.789752252252252
"21","MBP-TCR",0.853518518518519
"22","B3K508",0.529982363315697
