"","tcr","auc","fpeptide","pooling"
"1","18A2",0.730745943479731,0.1,"BATMAN pooled"
"2","868Z11",0.760290616350968,0.1,"BATMAN pooled"
"3","A11Va",0.699543303325298,0.1,"BATMAN pooled"
"4","A23",0.764786321862471,0.1,"BATMAN pooled"
"5","A6",0.704863647852392,0.1,"BATMAN pooled"
"6","APN-TCR",0.69138686455827,0.1,"BATMAN pooled"
"7","EWW-TCR",0.647350811115692,0.1,"BATMAN pooled"
"8","FLT3DY",0.675643936928858,0.1,"BATMAN pooled"
"9","NYE-S1",0.693220274372618,0.1,"BATMAN pooled"
"10","R24",0.726656284357177,0.1,"BATMAN pooled"
"11","T1",0.761038300051653,0.1,"BATMAN pooled"
"12","TCR-1E6",0.661590423669592,0.1,"BATMAN pooled"
"13","TCR2-T",0.708747406478385,0.1,"BATMAN pooled"
"14","TCR6",0.697067851825841,0.1,"BATMAN pooled"
"15","TCR7",0.694289295986213,0.1,"BATMAN pooled"
"16","TCR81-14",0.677486650254507,0.1,"BATMAN pooled"
"17","TIL1383I",0.654059981024267,0.1,"BATMAN pooled"
"18","a3a",0.744480400184765,0.1,"BATMAN pooled"
"19","18A2",0.783861894802593,0.2,"BATMAN pooled"
"20","868Z11",0.771272430984455,0.2,"BATMAN pooled"
"21","A11Va",0.723241652611961,0.2,"BATMAN pooled"
"22","A23",0.813463685057315,0.2,"BATMAN pooled"
"23","A6",0.760362034070047,0.2,"BATMAN pooled"
"24","APN-TCR",0.727847379955841,0.2,"BATMAN pooled"
"25","EWW-TCR",0.691124633935556,0.2,"BATMAN pooled"
"26","FLT3DY",0.720459570437402,0.2,"BATMAN pooled"
"27","NYE-S1",0.736662995810131,0.2,"BATMAN pooled"
"28","R24",0.797994383874014,0.2,"BATMAN pooled"
"29","T1",0.816947686049248,0.2,"BATMAN pooled"
"30","TCR-1E6",0.702114254086948,0.2,"BATMAN pooled"
"31","TCR2-T",0.72937585621236,0.2,"BATMAN pooled"
"32","TCR6",0.740083262524783,0.2,"BATMAN pooled"
"33","TCR7",0.748992580747038,0.2,"BATMAN pooled"
"34","TCR81-14",0.710134348676015,0.2,"BATMAN pooled"
"35","TIL1383I",0.705442612942613,0.2,"BATMAN pooled"
"36","a3a",0.823816572123864,0.2,"BATMAN pooled"
"37","18A2",0.808117059140908,0.3,"BATMAN pooled"
"38","868Z11",0.777302012575254,0.3,"BATMAN pooled"
"39","A11Va",0.771772552297944,0.3,"BATMAN pooled"
"40","A23",0.826784310836035,0.3,"BATMAN pooled"
"41","A6",0.780285478858758,0.3,"BATMAN pooled"
"42","APN-TCR",0.748533323507396,0.3,"BATMAN pooled"
"43","EWW-TCR",0.727293171311479,0.3,"BATMAN pooled"
