,0
a3a,0.9490740740740741
TIL1383I,0.7587301587301587
TCR81-14,0.8948412698412699
18A2,0.8527777777777779
NYE-S1,0.8103632478632479
TCR6,0.8159722222222223
TCR7,0.8511904761904763
A6,0.8578512396694215
T1,0.7222222222222222
FLT3DY,0.8596491228070176
A23,0.9761904761904763
TCR2-T,0.8064814814814815
R24,0.8958333333333334
868Z11,0.7268170426065165
TCR-1E6,0.9212962962962963
APN-TCR,0.8481770833333333
EWW-TCR,0.9222222222222222
A11Va,0.8491582491582491
TCR-F5,0.8943322109988777
TCR-3598-2,0.8583950617283951
MBP-TCR,0.9787878787878789
B3K508,0.6944444444444445
