"","tcr","auc","npeptide","nstep"
"1","18A2",0.834008204299422,"36",1
"2","868Z11",0.736533952695975,"36",1
"3","A23",0.828000424954903,"36",1
"4","A6",0.765257241349611,"36",1
"5","FLT3DY",0.733003806884601,"36",1
"6","NYE-S1",0.722971610308653,"36",1
"7","T1",0.835292587533153,"36",1
"8","TCR2-T",0.698485887007228,"36",1
"9","TCR6",0.753159155879771,"36",1
"10","TCR7",0.773354868389527,"36",1
"11","TCR81-14",0.721432863320405,"36",1
"12","a3a",0.841397403110966,"36",1
"13","18A2",0.842505623634835,"72",1
"14","868Z11",0.745904119114666,"72",1
"15","A23",0.833469546844087,"72",1
"16","A6",0.788608070641088,"72",1
"17","FLT3DY",0.784735684137252,"72",1
"18","NYE-S1",0.771998098346746,"72",1
"19","T1",0.831557375966713,"72",1
"20","TCR2-T",0.725998240988607,"72",1
"21","TCR6",0.756137976398393,"72",1
"22","TCR7",0.782432228358833,"72",1
"23","TCR81-14",0.7288715919618,"72",1
"24","a3a",0.851270693253488,"72",1
"25","18A2",0.850529746727788,"108",1
"26","868Z11",0.733800550697963,"108",1
"27","A23",0.846106075176875,"108",1
"28","A6",0.807515589801984,"108",1
"29","FLT3DY",0.804411588349954,"108",1
"30","NYE-S1",0.793832356986797,"108",1
"31","T1",0.84165015306537,"108",1
"32","TCR2-T",0.741284090837106,"108",1
"33","TCR6",0.760003560387252,"108",1
"34","TCR7",0.784284430073241,"108",1
"35","TCR81-14",0.735504725139876,"108",1
"36","a3a",0.863734957099598,"108",1
"37","18A2",0.838196061393491,"36",2
"38","868Z11",0.741661136347555,"36",2
"39","A23",0.826872966514665,"36",2
"40","A6",0.765349493740554,"36",2
"41","FLT3DY",0.747443648207449,"36",2
"42","NYE-S1",0.732242002159991,"36",2
"43","T1",0.835271529744295,"36",2
"44","TCR2-T",0.716286079283335,"36",2
"45","TCR6",0.754043081443801,"36",2
"46","TCR7",0.786434040079574,"36",2
"47","TCR81-14",0.726848033727059,"36",2
"48","a3a",0.853623479185065,"36",2
"49","18A2",0.844013688038548,"72",2
"50","868Z11",0.74866545733748,"72",2
"51","A23",0.835985665061028,"72",2
"52","A6",0.781372697660974,"72",2
"53","FLT3DY",0.791661668824175,"72",2
"54","NYE-S1",0.784692431346557,"72",2
"55","T1",0.83276236806792,"72",2
"56","TCR2-T",0.732723818661601,"72",2
"57","TCR6",0.776764610014344,"72",2
"58","TCR7",0.789966511146909,"72",2
"59","TCR81-14",0.726541294562745,"72",2
"60","a3a",0.858642242357693,"72",2
"61","18A2",0.85490627886634,"108",2
"62","868Z11",0.747095038843433,"108",2
"63","A23",0.844258830047981,"108",2
"64","A6",0.791532134013238,"108",2
"65","FLT3DY",0.810194882043467,"108",2
"66","NYE-S1",0.816024658728623,"108",2
"67","T1",0.844701553932762,"108",2
"68","TCR2-T",0.744357661672689,"108",2
"69","TCR6",0.77211995295642,"108",2
"70","TCR7",0.800195008100344,"108",2
"71","TCR81-14",0.736893911266982,"108",2
"72","a3a",0.865679433768738,"108",2
"73","18A2",0.851349506155761,"36",4
"74","868Z11",0.784558242570557,"36",4
"75","A23",0.843395645888491,"36",4
"76","A6",0.768815608367426,"36",4
"77","FLT3DY",0.722074200097282,"36",4
"78","NYE-S1",0.764308463157106,"36",4
"79","T1",0.838812308549151,"36",4
"80","TCR2-T",0.724773190596926,"36",4
"81","TCR6",0.764836492396206,"36",4
"82","TCR7",0.759369060556904,"36",4
"83","TCR81-14",0.726028973254286,"36",4
"84","a3a",0.864312684028835,"36",4
"85","18A2",0.862449719762366,"72",4
"86","868Z11",0.76575916796565,"72",4
"87","A23",0.839464764350612,"72",4
"88","A6",0.793909230313028,"72",4
"89","FLT3DY",0.773708201018427,"72",4
"90","NYE-S1",0.788623712031975,"72",4
"91","T1",0.823830573223932,"72",4
"92","TCR2-T",0.734670428964286,"72",4
"93","TCR6",0.781211015333335,"72",4
"94","TCR7",0.815395543723696,"72",4
"95","TCR81-14",0.728305396898875,"72",4
"96","a3a",0.86627742592453,"72",4
"97","18A2",0.857486099777737,"108",4
"98","868Z11",0.752310870601349,"108",4
"99","A23",0.825852254228585,"108",4
"100","A6",0.816046465622397,"108",4
"101","FLT3DY",0.798089168419632,"108",4
"102","NYE-S1",0.813473371617755,"108",4
"103","T1",0.836221333887348,"108",4
"104","TCR2-T",0.749414484445685,"108",4
"105","TCR6",0.78455941606306,"108",4
"106","TCR7",0.80572549694086,"108",4
"107","TCR81-14",0.738396924792871,"108",4
"108","a3a",0.879434662072055,"108",4
"109","a3a",0.573740871450344,"LOO TCR",0
"110","TCR81-14",0.614622283440465,"LOO TCR",0
"111","18A2",0.798559044951113,"LOO TCR",0
"112","NYE-S1",0.626223258989531,"LOO TCR",0
"113","TCR6",0.569085502168835,"LOO TCR",0
"114","TCR7",0.708143171162954,"LOO TCR",0
"115","A6",0.71671261487051,"LOO TCR",0
"116","T1",0.754188914219436,"LOO TCR",0
"117","FLT3DY",0.61809691045246,"LOO TCR",0
"118","A23",0.846437632795901,"LOO TCR",0
"119","TCR2-T",0.624266367882352,"LOO TCR",0
"120","868Z11",0.79304265336654,"LOO TCR",0
"121","a3a",0.903194161805273,"Within TCR",0
"310","TCR81-14",0.789430754430754,"Within TCR",0
"410","18A2",0.851646546922863,"Within TCR",0
"510","NYE-S1",0.826858326858327,"Within TCR",0
"610","TCR6",0.809142692914623,"Within TCR",0
"710","TCR7",0.823829293159437,"Within TCR",0
"810","A6",0.822364198487193,"Within TCR",0
"910","T1",0.865372218931729,"Within TCR",0
"1010","FLT3DY",0.85055769877776,"Within TCR",0
"1110","A23",0.840784060554175,"Within TCR",0
"122","TCR2-T",0.79045585815151,"Within TCR",0
"141","868Z11",0.812793019254485,"Within TCR",0
