,d_mean,d_median,d_std
a3a,1.3829663440598856,1.1516059626906316,1.0563107784498489
TCR81-14,1.1368699083781042,0.8605148839869298,1.0217238352580549
18A2,1.1534490833942805,0.6744298090909092,1.3780538065831816
NYE-S1,1.2238563524245991,1.0231137777777795,0.9101956358104585
TCR6,1.0813059240231748,0.9794951249999992,0.8782383718165252
TCR7,1.1070839905693672,0.8704388874999991,0.9012060120390053
A6,1.222913579686005,0.8149543137254898,1.1218013639516136
T1,1.1082443196725833,0.8683711538461525,1.0002034604553833
FLT3DY,1.0559900093674945,0.7635533096296305,0.9268549832613704
A23,0.947156916663614,0.744657,0.8167689203800476
TCR2-T,1.1032682224050765,0.9244071890374339,0.934685345202507
868Z11,0.9524431199500535,0.7358836363636372,0.8690020280662296
