,Spearman r,aa_matrix,tcr
0,0.6006614818884397,hamming,11A10
1,0.41635750090005147,blosum62,11A10
2,0.3637591791306095,blosum30,11A10
3,0.40896910448106355,blosum35,11A10
4,0.4159253970558817,blosum40,11A10
5,0.43405087948017956,blosum45,11A10
6,0.41329409020656593,blosum50,11A10
7,0.41906736935038336,blosum55,11A10
8,0.41817462935042576,blosum60,11A10
9,0.4120301089560616,blosum65,11A10
10,0.4134597756767323,blosum70,11A10
11,0.40983406810326584,blosum75,11A10
12,0.4154374913222639,blosum80,11A10
13,0.41154766844898427,blosum85,11A10
14,0.4319225095478291,blosum90,11A10
15,0.4328838952884599,blosum100,11A10
16,0.3819544545190406,pam10,11A10
17,0.37696450410829996,pam20,11A10
18,0.37507321549298733,pam30,11A10
19,0.3452063275836914,pam40,11A10
20,0.3621734560085033,pam50,11A10
21,0.3437572141265281,pam60,11A10
22,0.3390814377980512,pam70,11A10
23,0.3502963968952332,pam80,11A10
24,0.33994208749212806,pam90,11A10
25,0.3345331664351116,pam100,11A10
26,0.31879928344367137,pam110,11A10
27,0.3119658748635245,pam120,11A10
28,0.32081143366612186,pam130,11A10
29,0.3088815855419655,pam140,11A10
30,0.3171584320167735,pam150,11A10
31,0.30318939891138147,pam160,11A10
32,0.30900725845892224,pam170,11A10
33,0.2953581979057029,pam180,11A10
34,0.3072185298460636,pam190,11A10
35,0.27374649034452075,pam200,11A10
36,0.26077633391690586,pam210,11A10
37,0.2637006438313357,pam220,11A10
38,0.26515358067545824,pam230,11A10
39,0.2900080304637158,pam240,11A10
40,0.28975691140767446,pam250,11A10
41,0.24538797827721132,pam260,11A10
42,0.22479664804263194,pam270,11A10
43,0.2527847505550048,pam280,11A10
44,0.26485253942685943,pam290,11A10
45,0.227450647060363,pam300,11A10
46,0.2177775904226606,pam310,11A10
47,0.22008530473510782,pam320,11A10
48,0.2128269946450771,pam330,11A10
49,0.19857876379922748,pam340,11A10
50,0.22180231600472675,pam350,11A10
51,0.19178234225048124,pam360,11A10
52,0.19261603006431624,pam370,11A10
53,0.20445617480805328,pam380,11A10
54,0.16815189793033458,pam390,11A10
55,0.17609107926675824,pam400,11A10
56,0.15947264611098766,pam410,11A10
57,0.15932626940524874,pam420,11A10
58,0.16329233011237645,pam430,11A10
59,0.16256441352832623,pam440,11A10
60,0.1690394984344898,pam450,11A10
61,0.17226082766190753,pam460,11A10
62,0.15943362819180487,pam470,11A10
63,0.16843225339262868,pam480,11A10
64,0.16998873871317016,pam490,11A10
65,0.16272485105507717,pam500,11A10
66,0.2985142253266263,dayhoff,11A10
67,0.3028370021599392,gonnet,11A10
