,Spearman r,aa_matrix,tcr
0,0.7007026588886276,hamming,A11Va
1,0.4498563342517502,blosum62,A11Va
2,0.4606105092555602,blosum30,A11Va
3,0.4930309940307217,blosum35,A11Va
4,0.45685553019000125,blosum40,A11Va
5,0.5132860452040783,blosum45,A11Va
6,0.47141208199760315,blosum50,A11Va
7,0.4588474951033795,blosum55,A11Va
8,0.45618593225395976,blosum60,A11Va
9,0.4621576754301625,blosum65,A11Va
10,0.43704794719956713,blosum70,A11Va
11,0.42546642621821196,blosum75,A11Va
12,0.4882850521956225,blosum80,A11Va
13,0.49764798224291606,blosum85,A11Va
14,0.5030995087668467,blosum90,A11Va
15,0.5160318941317047,blosum100,A11Va
16,0.5161920850753382,pam10,A11Va
17,0.47822304013928807,pam20,A11Va
18,0.4595853651171047,pam30,A11Va
19,0.46827552700906105,pam40,A11Va
20,0.45393996497925804,pam50,A11Va
21,0.44753833019717143,pam60,A11Va
22,0.446705269583341,pam70,A11Va
23,0.42655776531680756,pam80,A11Va
24,0.4427749964360551,pam90,A11Va
25,0.4013955151459553,pam100,A11Va
26,0.40297478972092166,pam110,A11Va
27,0.4043620257810755,pam120,A11Va
28,0.4058173917603189,pam130,A11Va
29,0.40695041968689283,pam140,A11Va
30,0.37291925398233267,pam150,A11Va
31,0.37208548522547397,pam160,A11Va
32,0.37434457386043685,pam170,A11Va
33,0.3848157880239364,pam180,A11Va
34,0.4004690455190894,pam190,A11Va
35,0.3713660904321949,pam200,A11Va
36,0.3562852053785898,pam210,A11Va
37,0.34894645494559196,pam220,A11Va
38,0.3643894160027174,pam230,A11Va
39,0.36799840856319316,pam240,A11Va
40,0.3712684554041809,pam250,A11Va
41,0.36919681716745106,pam260,A11Va
42,0.36645117841345537,pam270,A11Va
43,0.38946333873586014,pam280,A11Va
44,0.37737244455476776,pam290,A11Va
45,0.38581180807698306,pam300,A11Va
46,0.36586995922949755,pam310,A11Va
47,0.3678716148587273,pam320,A11Va
48,0.3538233873534262,pam330,A11Va
49,0.3599749013206374,pam340,A11Va
50,0.3743262302590994,pam350,A11Va
51,0.34423803338158465,pam360,A11Va
52,0.3330766720065629,pam370,A11Va
53,0.3478547911582817,pam380,A11Va
54,0.3398112461836112,pam390,A11Va
55,0.34505775744371336,pam400,A11Va
56,0.3381098651054364,pam410,A11Va
57,0.34211309365120013,pam420,A11Va
58,0.3330037583962749,pam430,A11Va
59,0.3429290406225064,pam440,A11Va
60,0.31325043017401655,pam450,A11Va
61,0.31830027173092645,pam460,A11Va
62,0.34384080660017413,pam470,A11Va
63,0.30929056587478054,pam480,A11Va
64,0.32028556590598206,pam490,A11Va
65,0.317535012193331,pam500,A11Va
66,0.3640373350237331,dayhoff,A11Va
67,0.34771646504314213,gonnet,A11Va
