,Spearman r,aa_matrix,tcr
0,0.7353271601831254,hamming,A11Vb
1,0.49784273647125155,blosum62,A11Vb
2,0.5723459722733936,blosum30,A11Vb
3,0.5480048357305469,blosum35,A11Vb
4,0.49711559576743125,blosum40,A11Vb
5,0.5454420655375942,blosum45,A11Vb
6,0.4853651465316718,blosum50,A11Vb
7,0.48312914097042636,blosum55,A11Vb
8,0.49243052092480194,blosum60,A11Vb
9,0.484383254990555,blosum65,A11Vb
10,0.4757344227408543,blosum70,A11Vb
11,0.45259602585712244,blosum75,A11Vb
12,0.5228561325333473,blosum80,A11Vb
13,0.5154806588370169,blosum85,A11Vb
14,0.510364570594388,blosum90,A11Vb
15,0.5405994111911472,blosum100,A11Vb
16,0.5463257252852475,pam10,A11Vb
17,0.5400505645114672,pam20,A11Vb
18,0.5341384532414047,pam30,A11Vb
19,0.5208076525489028,pam40,A11Vb
20,0.5129479635512896,pam50,A11Vb
21,0.49550547358350167,pam60,A11Vb
22,0.5033003675370381,pam70,A11Vb
23,0.5042485767065605,pam80,A11Vb
24,0.49926804014931275,pam90,A11Vb
25,0.46737409273520897,pam100,A11Vb
26,0.477912967227679,pam110,A11Vb
27,0.480981749092555,pam120,A11Vb
28,0.4727839646311144,pam130,A11Vb
29,0.46728345121398707,pam140,A11Vb
30,0.43744150381140967,pam150,A11Vb
31,0.4462005494144824,pam160,A11Vb
32,0.44637079952027114,pam170,A11Vb
33,0.443658025037995,pam180,A11Vb
34,0.46519517355454065,pam190,A11Vb
35,0.4262432281999434,pam200,A11Vb
36,0.41321581428242193,pam210,A11Vb
37,0.4070518038106822,pam220,A11Vb
38,0.3995872283024196,pam230,A11Vb
39,0.4085045461160293,pam240,A11Vb
40,0.41032809892794536,pam250,A11Vb
41,0.4144098522422608,pam260,A11Vb
42,0.40891415332002923,pam270,A11Vb
43,0.4274481504829618,pam280,A11Vb
44,0.4183472548562833,pam290,A11Vb
45,0.42219083263395,pam300,A11Vb
46,0.4149537777485185,pam310,A11Vb
47,0.4215548275476544,pam320,A11Vb
48,0.4115274427946263,pam330,A11Vb
49,0.42066008773865454,pam340,A11Vb
50,0.40708843714382714,pam350,A11Vb
51,0.38362021672450775,pam360,A11Vb
52,0.37938644342147493,pam370,A11Vb
53,0.3804466976712727,pam380,A11Vb
54,0.37207204642190816,pam390,A11Vb
55,0.3811622885707765,pam400,A11Vb
56,0.37692000293969646,pam410,A11Vb
57,0.3672769041310081,pam420,A11Vb
58,0.375027913336065,pam430,A11Vb
59,0.3688094451751513,pam440,A11Vb
60,0.32123901774495184,pam450,A11Vb
61,0.32059324131675426,pam460,A11Vb
62,0.3773395532840077,pam470,A11Vb
63,0.32495935746942317,pam480,A11Vb
64,0.32233195410408455,pam490,A11Vb
65,0.31349015917943895,pam500,A11Vb
66,0.41550803876154685,dayhoff,A11Vb
67,0.3787729438336455,gonnet,A11Vb
