,Spearman r,aa_matrix,tcr
0,0.6935935429718441,hamming,A3-05
1,0.5883550292567745,blosum62,A3-05
2,0.5744399704515389,blosum30,A3-05
3,0.5703930388102847,blosum35,A3-05
4,0.5690767968874191,blosum40,A3-05
5,0.5878389002175507,blosum45,A3-05
6,0.5924480057054899,blosum50,A3-05
7,0.5994041343803045,blosum55,A3-05
8,0.587910280298108,blosum60,A3-05
9,0.5782613201246205,blosum65,A3-05
10,0.5682851375164937,blosum70,A3-05
11,0.5641790750559235,blosum75,A3-05
12,0.6079646948998378,blosum80,A3-05
13,0.6159805385222985,blosum85,A3-05
14,0.6125292630579405,blosum90,A3-05
15,0.6108891588023362,blosum100,A3-05
16,0.6285304056787133,pam10,A3-05
17,0.6170942598562408,pam20,A3-05
18,0.6088432846814305,pam30,A3-05
19,0.6126935521525569,pam40,A3-05
20,0.6081130884554927,pam50,A3-05
21,0.601867866808874,pam60,A3-05
22,0.6004095846259061,pam70,A3-05
23,0.5817792409887858,pam80,A3-05
24,0.5964195288402021,pam90,A3-05
25,0.5703779512744565,pam100,A3-05
26,0.5460403077220126,pam110,A3-05
27,0.5218822778494865,pam120,A3-05
28,0.5332494315920314,pam130,A3-05
29,0.5305663021003583,pam140,A3-05
30,0.515958233370605,pam150,A3-05
31,0.5143580033818929,pam160,A3-05
32,0.5354382683974961,pam170,A3-05
33,0.537394935320545,pam180,A3-05
34,0.5392218537106195,pam190,A3-05
35,0.5234823831538107,pam200,A3-05
36,0.5160105023795327,pam210,A3-05
37,0.5018158362694451,pam220,A3-05
38,0.48255626073683466,pam230,A3-05
39,0.4655116015790088,pam240,A3-05
40,0.47965523753643097,pam250,A3-05
41,0.4717579207797927,pam260,A3-05
42,0.467373770803429,pam270,A3-05
43,0.47078182180788825,pam280,A3-05
44,0.4624405037967788,pam290,A3-05
45,0.4660817187395942,pam300,A3-05
46,0.4403565781718174,pam310,A3-05
47,0.43756538848687204,pam320,A3-05
48,0.4302419082083073,pam330,A3-05
49,0.40645472765083684,pam340,A3-05
50,0.4260193536312896,pam350,A3-05
51,0.3946422300157132,pam360,A3-05
52,0.39523858960729397,pam370,A3-05
53,0.3839733141796349,pam380,A3-05
54,0.38063612397076,pam390,A3-05
55,0.37711505500351006,pam400,A3-05
56,0.36704649612523343,pam410,A3-05
57,0.3486188274094197,pam420,A3-05
58,0.3553193702152328,pam430,A3-05
59,0.3544548846458788,pam440,A3-05
60,0.3514116444577721,pam450,A3-05
61,0.3493194112262318,pam460,A3-05
62,0.36290175278418635,pam470,A3-05
63,0.3371944413671861,pam480,A3-05
64,0.34326566542761877,pam490,A3-05
65,0.3429980201189414,pam500,A3-05
66,0.47502016769789107,dayhoff,A3-05
67,0.510072902501881,gonnet,A3-05
