,Spearman r,aa_matrix,tcr
0,0.7483775995554629,hamming,A3V
1,0.490412212562361,blosum62,A3V
2,0.5208158047043315,blosum30,A3V
3,0.5050298288019311,blosum35,A3V
4,0.4881124175284028,blosum40,A3V
5,0.5203819316641687,blosum45,A3V
6,0.49520789162523693,blosum50,A3V
7,0.48994012742676585,blosum55,A3V
8,0.49572972642735724,blosum60,A3V
9,0.48040352904027506,blosum65,A3V
10,0.46995446514501626,blosum70,A3V
11,0.4686261596300295,blosum75,A3V
12,0.5113682201878091,blosum80,A3V
13,0.5227207443064643,blosum85,A3V
14,0.5215683939457773,blosum90,A3V
15,0.5218133087981357,blosum100,A3V
16,0.521420132973152,pam10,A3V
17,0.5326721403477277,pam20,A3V
18,0.5220053954036714,pam30,A3V
19,0.52939013362562,pam40,A3V
20,0.5112358915459312,pam50,A3V
21,0.5152881558951258,pam60,A3V
22,0.5032549342561057,pam70,A3V
23,0.4969852410393004,pam80,A3V
24,0.5011540468722159,pam90,A3V
25,0.48803415815394036,pam100,A3V
26,0.4709523927406959,pam110,A3V
27,0.4859942170631667,pam120,A3V
28,0.48722581205769633,pam130,A3V
29,0.4875649443695811,pam140,A3V
30,0.4634738375629146,pam150,A3V
31,0.4628457088102335,pam160,A3V
32,0.47221941791497446,pam170,A3V
33,0.4707076316645609,pam180,A3V
34,0.48497627912732993,pam190,A3V
35,0.48172507204584897,pam200,A3V
36,0.4707636339029705,pam210,A3V
37,0.46468496108415425,pam220,A3V
38,0.454289695840245,pam230,A3V
39,0.4435063485904288,pam240,A3V
40,0.45609281629784465,pam250,A3V
41,0.4066377914151037,pam260,A3V
42,0.4192443834207711,pam270,A3V
43,0.4175316294253467,pam280,A3V
44,0.41702180994047416,pam290,A3V
45,0.3770012601133741,pam300,A3V
46,0.40410843140307895,pam310,A3V
47,0.37599084770664537,pam320,A3V
48,0.3867368643327359,pam330,A3V
49,0.3574467022163277,pam340,A3V
50,0.36933398150623475,pam350,A3V
51,0.3603991107732128,pam360,A3V
52,0.3674360934823748,pam370,A3V
53,0.3252282770919264,pam380,A3V
54,0.2854779606101413,pam390,A3V
55,0.29328799905081254,pam400,A3V
56,0.3213300813739678,pam410,A3V
57,0.2864678601323295,pam420,A3V
58,0.28238485814265324,pam430,A3V
59,0.29310707008847275,pam440,A3V
60,0.2720138433675214,pam450,A3V
61,0.2740708383110448,pam460,A3V
62,0.2994857451909175,pam470,A3V
63,0.26985203267427094,pam480,A3V
64,0.27956556801666194,pam490,A3V
65,0.2797968645706403,pam500,A3V
66,0.45299512956218446,dayhoff,A3V
67,0.4660055355255734,gonnet,A3V
