,Spearman r,aa_matrix,tcr
0,0.7629750549246593,hamming,B13
1,0.5942902283662518,blosum62,B13
2,0.6202823653791194,blosum30,B13
3,0.6193976623170288,blosum35,B13
4,0.6482022214516455,blosum40,B13
5,0.6300495108461259,blosum45,B13
6,0.6120712830860362,blosum50,B13
7,0.6229430344860535,blosum55,B13
8,0.5984495917603886,blosum60,B13
9,0.6037038969411637,blosum65,B13
10,0.6030568573371469,blosum70,B13
11,0.6114622538597094,blosum75,B13
12,0.622998610111023,blosum80,B13
13,0.6279642454840031,blosum85,B13
14,0.6270086219661273,blosum90,B13
15,0.6412934988186946,blosum100,B13
16,0.6828303121118434,pam10,B13
17,0.6790703801025917,pam20,B13
18,0.6719210564517442,pam30,B13
19,0.6709648050293658,pam40,B13
20,0.663642644982825,pam50,B13
21,0.6643167052212373,pam60,B13
22,0.6397835745247753,pam70,B13
23,0.6529121799064395,pam80,B13
24,0.636451178129114,pam90,B13
25,0.6434510744796955,pam100,B13
26,0.638073699560171,pam110,B13
27,0.6313739790882943,pam120,B13
28,0.6256815820791565,pam130,B13
29,0.6264569862039877,pam140,B13
30,0.6075715380542437,pam150,B13
31,0.595669237317542,pam160,B13
32,0.593651303249957,pam170,B13
33,0.5995425014070432,pam180,B13
34,0.6058325999547243,pam190,B13
35,0.591675355037082,pam200,B13
36,0.5669878628478318,pam210,B13
37,0.5608227935644534,pam220,B13
38,0.5625809642762374,pam230,B13
39,0.5804089342547953,pam240,B13
40,0.5651941210090665,pam250,B13
41,0.5448864742977297,pam260,B13
42,0.5589033569496016,pam270,B13
43,0.5550382889376072,pam280,B13
44,0.5584341518033932,pam290,B13
45,0.533697299042977,pam300,B13
46,0.5068962045425297,pam310,B13
47,0.5148250862056222,pam320,B13
48,0.5092300105456102,pam330,B13
49,0.506087609011286,pam340,B13
50,0.5272188276868353,pam350,B13
51,0.5095739487575072,pam360,B13
52,0.49686284455418217,pam370,B13
53,0.48796519959985574,pam380,B13
54,0.48688179699973133,pam390,B13
55,0.5324807193576263,pam400,B13
56,0.4710618726769713,pam410,B13
57,0.47156191262071445,pam420,B13
58,0.4660965594525993,pam430,B13
59,0.4744582383399415,pam440,B13
60,0.503043703327978,pam450,B13
61,0.48904329686123943,pam460,B13
62,0.4846454864987468,pam470,B13
63,0.4861321079553303,pam480,B13
64,0.47632840716575336,pam490,B13
65,0.4813232217263398,pam500,B13
66,0.5718758835786595,dayhoff,B13
67,0.511284236577678,gonnet,B13
