,Spearman r,aa_matrix,tcr
0,0.8155696046892043,hamming,B3K503
1,0.768273364262632,blosum62,B3K503
2,0.7696887733925837,blosum30,B3K503
3,0.7712438286684704,blosum35,B3K503
4,0.7943340689809578,blosum40,B3K503
5,0.7874866385081896,blosum45,B3K503
6,0.7773769926941205,blosum50,B3K503
7,0.780296820749973,blosum55,B3K503
8,0.7653640442339091,blosum60,B3K503
9,0.758118429042453,blosum65,B3K503
10,0.7599464573661431,blosum70,B3K503
11,0.7600718629953572,blosum75,B3K503
12,0.765330346468406,blosum80,B3K503
13,0.7711896323715342,blosum85,B3K503
14,0.7686757195724858,blosum90,B3K503
15,0.7814748438532965,blosum100,B3K503
16,0.7450531186570568,pam10,B3K503
17,0.7382418589746281,pam20,B3K503
18,0.7427029751048606,pam30,B3K503
19,0.7322007124596085,pam40,B3K503
20,0.7313097470288688,pam50,B3K503
21,0.7334953841559796,pam60,B3K503
22,0.7370479629234994,pam70,B3K503
23,0.715025987084093,pam80,B3K503
24,0.7069165592526103,pam90,B3K503
25,0.7053678763208849,pam100,B3K503
26,0.7103685852591289,pam110,B3K503
27,0.7203303299302957,pam120,B3K503
28,0.723648671584387,pam130,B3K503
29,0.6938260022889587,pam140,B3K503
30,0.6815298529287575,pam150,B3K503
31,0.6871708868052275,pam160,B3K503
32,0.6881129745087968,pam170,B3K503
33,0.6822904163805593,pam180,B3K503
34,0.6690062111930474,pam190,B3K503
35,0.6756361537545962,pam200,B3K503
36,0.6832340593822807,pam210,B3K503
37,0.6586608378821422,pam220,B3K503
38,0.6596345545600679,pam230,B3K503
39,0.6721977998668848,pam240,B3K503
40,0.7178210802123545,pam250,B3K503
41,0.7087407509334793,pam260,B3K503
42,0.6616267398618465,pam270,B3K503
43,0.6389523696402021,pam280,B3K503
44,0.6257983576748604,pam290,B3K503
45,0.6237308664262582,pam300,B3K503
46,0.6243317372428769,pam310,B3K503
47,0.6580038888986064,pam320,B3K503
48,0.6309412881712959,pam330,B3K503
49,0.5716402085205692,pam340,B3K503
50,0.6196288938486055,pam350,B3K503
51,0.5839585208034871,pam360,B3K503
52,0.5965863356507776,pam370,B3K503
53,0.5369220016407819,pam380,B3K503
54,0.538280863694159,pam390,B3K503
55,0.5413288659733144,pam400,B3K503
56,0.5010456194795947,pam410,B3K503
57,0.5012196299353002,pam420,B3K503
58,0.5063010366020901,pam430,B3K503
59,0.5066965643177842,pam440,B3K503
60,0.5024347507724067,pam450,B3K503
61,0.4923338652131838,pam460,B3K503
62,0.5066438900077888,pam470,B3K503
63,0.5042226254141969,pam480,B3K503
64,0.49582815622048626,pam490,B3K503
65,0.49412281617135345,pam500,B3K503
66,0.7178210802123545,dayhoff,B3K503
67,0.7170633872885235,gonnet,B3K503
