,Spearman r,aa_matrix,tcr
0,0.696784604109561,hamming,EWW-TCR
1,0.6336629567376575,blosum62,EWW-TCR
2,0.6510504438164604,blosum30,EWW-TCR
3,0.630550372699825,blosum35,EWW-TCR
4,0.6453130943767107,blosum40,EWW-TCR
5,0.6344266777714749,blosum45,EWW-TCR
6,0.6511565406965818,blosum50,EWW-TCR
7,0.6468112819920399,blosum55,EWW-TCR
8,0.6370450217762859,blosum60,EWW-TCR
9,0.6342267274332393,blosum65,EWW-TCR
10,0.6441583197485163,blosum70,EWW-TCR
11,0.6508696025136452,blosum75,EWW-TCR
12,0.6357714008370033,blosum80,EWW-TCR
13,0.6443934931858658,blosum85,EWW-TCR
14,0.6489980655676899,blosum90,EWW-TCR
15,0.6445766079031372,blosum100,EWW-TCR
16,0.6077874652431484,pam10,EWW-TCR
17,0.6097889284792426,pam20,EWW-TCR
18,0.6042781342064893,pam30,EWW-TCR
19,0.5831641325075353,pam40,EWW-TCR
20,0.5942000800598575,pam50,EWW-TCR
21,0.5737532932568454,pam60,EWW-TCR
22,0.5634712770900867,pam70,EWW-TCR
23,0.5468120145735995,pam80,EWW-TCR
24,0.5501706051576164,pam90,EWW-TCR
25,0.5379673307620799,pam100,EWW-TCR
26,0.5237451978393541,pam110,EWW-TCR
27,0.5210682139184372,pam120,EWW-TCR
28,0.5199418155994504,pam130,EWW-TCR
29,0.5022059292336924,pam140,EWW-TCR
30,0.4964972065929298,pam150,EWW-TCR
31,0.49566388414537305,pam160,EWW-TCR
32,0.49660159266782866,pam170,EWW-TCR
33,0.5149680832299334,pam180,EWW-TCR
34,0.5165417484360229,pam190,EWW-TCR
35,0.459801990709854,pam200,EWW-TCR
36,0.46650014484055635,pam210,EWW-TCR
37,0.445702002688882,pam220,EWW-TCR
38,0.44298125101583413,pam230,EWW-TCR
39,0.4669390260792845,pam240,EWW-TCR
40,0.4864019204131245,pam250,EWW-TCR
41,0.404566564782456,pam260,EWW-TCR
42,0.4374544240012776,pam270,EWW-TCR
43,0.4441240474549965,pam280,EWW-TCR
44,0.43403155978089636,pam290,EWW-TCR
45,0.3524839194081398,pam300,EWW-TCR
46,0.35579242058694605,pam310,EWW-TCR
47,0.37931756616886886,pam320,EWW-TCR
48,0.3601905916267089,pam330,EWW-TCR
49,0.35913012462483734,pam340,EWW-TCR
50,0.3407367500770287,pam350,EWW-TCR
51,0.31403784484262476,pam360,EWW-TCR
52,0.32886720663116586,pam370,EWW-TCR
53,0.33359053026546004,pam380,EWW-TCR
54,0.337140049775759,pam390,EWW-TCR
55,0.3246187846630139,pam400,EWW-TCR
56,0.2793973640056951,pam410,EWW-TCR
57,0.27842516544165696,pam420,EWW-TCR
58,0.2864012720274898,pam430,EWW-TCR
59,0.28689602329248587,pam440,EWW-TCR
60,0.29537788801384013,pam450,EWW-TCR
61,0.28779888166067535,pam460,EWW-TCR
62,0.29170203523503124,pam470,EWW-TCR
63,0.2975469605754759,pam480,EWW-TCR
64,0.28877290849391174,pam490,EWW-TCR
65,0.29237622167442523,pam500,EWW-TCR
66,0.4882635528335452,dayhoff,EWW-TCR
67,0.5424093360761456,gonnet,EWW-TCR
