,Spearman r,aa_matrix,tcr
0,0.7906263102797311,hamming,Ed16-1
1,0.5897077837449114,blosum62,Ed16-1
2,0.6358963444826213,blosum30,Ed16-1
3,0.6391268080247199,blosum35,Ed16-1
4,0.6230376199278251,blosum40,Ed16-1
5,0.6286015279324557,blosum45,Ed16-1
6,0.5927552345729761,blosum50,Ed16-1
7,0.5982102079900246,blosum55,Ed16-1
8,0.5901084140746232,blosum60,Ed16-1
9,0.5901622852586182,blosum65,Ed16-1
10,0.5891675545018201,blosum70,Ed16-1
11,0.5981149010066249,blosum75,Ed16-1
12,0.6086929829492264,blosum80,Ed16-1
13,0.6115464521699044,blosum85,Ed16-1
14,0.6074822442346826,blosum90,Ed16-1
15,0.6206460038274265,blosum100,Ed16-1
16,0.6409511696602554,pam10,Ed16-1
17,0.6294445244419256,pam20,Ed16-1
18,0.6291271243232358,pam30,Ed16-1
19,0.6286640883694152,pam40,Ed16-1
20,0.6147556328269174,pam50,Ed16-1
21,0.6069779417901258,pam60,Ed16-1
22,0.615373293563136,pam70,Ed16-1
23,0.6138379015790262,pam80,Ed16-1
24,0.6020831956492257,pam90,Ed16-1
25,0.600107630537414,pam100,Ed16-1
26,0.6062750189559475,pam110,Ed16-1
27,0.6155821657346665,pam120,Ed16-1
28,0.5990633880634252,pam130,Ed16-1
29,0.5930012839618659,pam140,Ed16-1
30,0.5638237244096961,pam150,Ed16-1
31,0.5708638889785699,pam160,Ed16-1
32,0.5683962268488613,pam170,Ed16-1
33,0.5639801345269686,pam180,Ed16-1
34,0.5727623519496859,pam190,Ed16-1
35,0.5615313612547234,pam200,Ed16-1
36,0.550445550733152,pam210,Ed16-1
37,0.5492215702967617,pam220,Ed16-1
38,0.533826366633501,pam230,Ed16-1
39,0.559522729593912,pam240,Ed16-1
40,0.5620188263536406,pam250,Ed16-1
41,0.5372297599531803,pam260,Ed16-1
42,0.5439837778311389,pam270,Ed16-1
43,0.544366519846553,pam280,Ed16-1
44,0.5321058152749489,pam290,Ed16-1
45,0.5434723633208359,pam300,Ed16-1
46,0.5165829789207279,pam310,Ed16-1
47,0.5287765517591174,pam320,Ed16-1
48,0.511102369940907,pam330,Ed16-1
49,0.4995914401654106,pam340,Ed16-1
50,0.5283060542705564,pam350,Ed16-1
51,0.49984541938872606,pam360,Ed16-1
52,0.498098972657678,pam370,Ed16-1
53,0.48162940489612704,pam380,Ed16-1
54,0.47366939190608265,pam390,Ed16-1
55,0.491871980660678,pam400,Ed16-1
56,0.4399007889621709,pam410,Ed16-1
57,0.43027530129493563,pam420,Ed16-1
58,0.42810877441848183,pam430,Ed16-1
59,0.43706524779654055,pam440,Ed16-1
60,0.4790114207659027,pam450,Ed16-1
61,0.44564611814743865,pam460,Ed16-1
62,0.44436076836460375,pam470,Ed16-1
63,0.43303812723959495,pam480,Ed16-1
64,0.43341197278153043,pam490,Ed16-1
65,0.4300965586465856,pam500,Ed16-1
66,0.5687055964239301,dayhoff,Ed16-1
67,0.5038267430159346,gonnet,Ed16-1
