,Spearman r,aa_matrix,tcr
0,0.2763331086664688,hamming,G6
1,0.15413213102163523,blosum62,G6
2,0.18301057991851727,blosum30,G6
3,0.16994484088616496,blosum35,G6
4,0.14353822289571228,blosum40,G6
5,0.15498499515808956,blosum45,G6
6,0.1445261777278242,blosum50,G6
7,0.1378941646326899,blosum55,G6
8,0.155396247098984,blosum60,G6
9,0.15710354049755967,blosum65,G6
10,0.14675113176659743,blosum70,G6
11,0.15832828891406794,blosum75,G6
12,0.14768559764141792,blosum80,G6
13,0.16149238264810467,blosum85,G6
14,0.14565824968668,blosum90,G6
15,0.1368318176436909,blosum100,G6
16,0.08370470800593657,pam10,G6
17,0.08487795208122811,pam20,G6
18,0.097052232608485,pam30,G6
19,0.06363789385469977,pam40,G6
20,0.07628605713939275,pam50,G6
21,0.06639171887887649,pam60,G6
22,0.07922676843422495,pam70,G6
23,0.07086876967169874,pam80,G6
24,0.07927378745856185,pam90,G6
25,0.09398228432947674,pam100,G6
26,0.09116014570499326,pam110,G6
27,0.06006323386210832,pam120,G6
28,0.059957097423589456,pam130,G6
29,0.08496289416594019,pam140,G6
30,0.10811771718303129,pam150,G6
31,0.10927215808749546,pam160,G6
32,0.10111848376218066,pam170,G6
33,0.10687816921802853,pam180,G6
34,0.12668209695163796,pam190,G6
35,0.13273212199166212,pam200,G6
36,0.16924094159370254,pam210,G6
37,0.18313894911951298,pam220,G6
38,0.17537235585933902,pam230,G6
39,0.15235120582872477,pam240,G6
40,0.1456673782998925,pam250,G6
41,0.18280437230368024,pam260,G6
42,0.1594180752572428,pam270,G6
43,0.1849981106729297,pam280,G6
44,0.17373985534182568,pam290,G6
45,0.20901713759665047,pam300,G6
46,0.2242358627013354,pam310,G6
47,0.20405384401735288,pam320,G6
48,0.19261597568114272,pam330,G6
49,0.22492357175675962,pam340,G6
50,0.23069122936763473,pam350,G6
51,0.2170607052364509,pam360,G6
52,0.20991946513075505,pam370,G6
53,0.24290379966048153,pam380,G6
54,0.23131558909858024,pam390,G6
55,0.21605232406491798,pam400,G6
56,0.24630895282129664,pam410,G6
57,0.24751582208500852,pam420,G6
58,0.24422177131335765,pam430,G6
59,0.25109360790085783,pam440,G6
60,0.2405637120300812,pam450,G6
61,0.22752186916812378,pam460,G6
62,0.25128009006004265,pam470,G6
63,0.24063373237504299,pam480,G6
64,0.21521537466457885,pam490,G6
65,0.20605919998532918,pam500,G6
66,0.1483414762112995,dayhoff,G6
67,0.15045392214167663,gonnet,G6
