,Spearman r,aa_matrix,tcr
0,0.7262664683201898,hamming,H6
1,0.43156958005847396,blosum62,H6
2,0.48723260248695804,blosum30,H6
3,0.5089352086901395,blosum35,H6
4,0.4835005914973841,blosum40,H6
5,0.4862073694284413,blosum45,H6
6,0.4434891318160997,blosum50,H6
7,0.455902526868828,blosum55,H6
8,0.4297129200385615,blosum60,H6
9,0.41879411808562017,blosum65,H6
10,0.42711327934534404,blosum70,H6
11,0.4644507846720603,blosum75,H6
12,0.4855011139615068,blosum80,H6
13,0.4983774918805623,blosum85,H6
14,0.4969189507171688,blosum90,H6
15,0.5217942213103098,blosum100,H6
16,0.5351977919643793,pam10,H6
17,0.5313476960610963,pam20,H6
18,0.5099428460382712,pam30,H6
19,0.5278324723173997,pam40,H6
20,0.4881315815168733,pam50,H6
21,0.48195913583821415,pam60,H6
22,0.46941786275590563,pam70,H6
23,0.4871863874691297,pam80,H6
24,0.4525758373864813,pam90,H6
25,0.45924992919715485,pam100,H6
26,0.45477885223519365,pam110,H6
27,0.464615622769658,pam120,H6
28,0.43059143356660423,pam130,H6
29,0.43650568458978267,pam140,H6
30,0.42119144115376084,pam150,H6
31,0.4132239709562512,pam160,H6
32,0.3906906637602582,pam170,H6
33,0.3879164877881139,pam180,H6
34,0.41294286673785524,pam190,H6
35,0.40417984576405547,pam200,H6
36,0.38523875733354995,pam210,H6
37,0.38157914033481527,pam220,H6
38,0.37243547444102276,pam230,H6
39,0.3828370996754221,pam240,H6
40,0.3849117258382394,pam250,H6
41,0.34853750033270814,pam260,H6
42,0.3721006970915829,pam270,H6
43,0.36153224964817454,pam280,H6
44,0.34925892100371086,pam290,H6
45,0.34042220460379774,pam300,H6
46,0.30376307412325715,pam310,H6
47,0.3143446166183702,pam320,H6
48,0.31778330674778466,pam330,H6
49,0.32200822519529293,pam340,H6
50,0.30684930438850283,pam350,H6
51,0.29308731325015297,pam360,H6
52,0.2683598664193362,pam370,H6
53,0.28436842268911183,pam380,H6
54,0.27408886082240264,pam390,H6
55,0.32841902441809234,pam400,H6
56,0.23971551064660898,pam410,H6
57,0.24201686523715926,pam420,H6
58,0.24843550525002303,pam430,H6
59,0.25022076187601994,pam440,H6
60,0.28833150285635506,pam450,H6
61,0.26039726763391485,pam460,H6
62,0.2438932289648998,pam470,H6
63,0.25338626736793435,pam480,H6
64,0.23579429464350216,pam490,H6
65,0.2338072379137519,pam500,H6
66,0.38226646290481714,dayhoff,H6
67,0.28619596424454335,gonnet,H6
