,Spearman r,aa_matrix,tcr
0,0.8946841344055384,hamming,MBP-TCR
1,0.8086879003619997,blosum62,MBP-TCR
2,0.8279522038538923,blosum30,MBP-TCR
3,0.825542353035231,blosum35,MBP-TCR
4,0.8188908136264328,blosum40,MBP-TCR
5,0.8166527207656429,blosum45,MBP-TCR
6,0.8096297005577183,blosum50,MBP-TCR
7,0.8007702808141272,blosum55,MBP-TCR
8,0.8093976413133548,blosum60,MBP-TCR
9,0.8068760423074274,blosum65,MBP-TCR
10,0.8093750391269132,blosum70,MBP-TCR
11,0.8040058363400941,blosum75,MBP-TCR
12,0.8074449130791516,blosum80,MBP-TCR
13,0.8029239444777513,blosum85,MBP-TCR
14,0.8138838659810327,blosum90,MBP-TCR
15,0.8157509678052616,blosum100,MBP-TCR
16,0.8052403851506085,pam10,MBP-TCR
17,0.7950904268513677,pam20,MBP-TCR
18,0.8024873349453954,pam30,MBP-TCR
19,0.7863829317069533,pam40,MBP-TCR
20,0.7881078012306235,pam50,MBP-TCR
21,0.7799751932624481,pam60,MBP-TCR
22,0.77719866996838,pam70,MBP-TCR
23,0.7790760579150117,pam80,MBP-TCR
24,0.7773263875081795,pam90,MBP-TCR
25,0.7763467023322015,pam100,MBP-TCR
26,0.7647883961210569,pam110,MBP-TCR
27,0.7586138607858164,pam120,MBP-TCR
28,0.7551624694206083,pam130,MBP-TCR
29,0.7566419089770817,pam140,MBP-TCR
30,0.7472808481477544,pam150,MBP-TCR
31,0.7377274451430769,pam160,MBP-TCR
32,0.748377704205476,pam170,MBP-TCR
33,0.759253802083357,pam180,MBP-TCR
34,0.7506012869242795,pam190,MBP-TCR
35,0.7165068429031827,pam200,MBP-TCR
36,0.7007484013594432,pam210,MBP-TCR
37,0.6991968127720469,pam220,MBP-TCR
38,0.6980726875995782,pam230,MBP-TCR
39,0.7347608973177626,pam240,MBP-TCR
40,0.7471510250426163,pam250,MBP-TCR
41,0.6226454679363338,pam260,MBP-TCR
42,0.7183431531476355,pam270,MBP-TCR
43,0.7331710877244489,pam280,MBP-TCR
44,0.7132319184488338,pam290,MBP-TCR
45,0.6044714833613324,pam300,MBP-TCR
46,0.60553261781239,pam310,MBP-TCR
47,0.6070858890839167,pam320,MBP-TCR
48,0.5872632599055471,pam330,MBP-TCR
49,0.5402602342707746,pam340,MBP-TCR
50,0.5969583430479777,pam350,MBP-TCR
51,0.5542597206575519,pam360,MBP-TCR
52,0.5649208215680084,pam370,MBP-TCR
53,0.5161508157561479,pam380,MBP-TCR
54,0.5237614052395139,pam390,MBP-TCR
55,0.5224418977861881,pam400,MBP-TCR
56,0.5108191295653609,pam410,MBP-TCR
57,0.5176469530139782,pam420,MBP-TCR
58,0.5052910504843238,pam430,MBP-TCR
59,0.5079541825336342,pam440,MBP-TCR
60,0.5168714748521328,pam450,MBP-TCR
61,0.5130686192124122,pam460,MBP-TCR
62,0.5131609978158803,pam470,MBP-TCR
63,0.5119242657052105,pam480,MBP-TCR
64,0.48256434040962615,pam490,MBP-TCR
65,0.4854131285591217,pam500,MBP-TCR
66,0.7448229813675019,dayhoff,MBP-TCR
67,0.7456369784528782,gonnet,MBP-TCR
