,Spearman r,aa_matrix,tcr
0,0.6321967281367942,hamming,NYE-S3
1,0.4165576685160694,blosum62,NYE-S3
2,0.4457113925276529,blosum30,NYE-S3
3,0.43818781832356857,blosum35,NYE-S3
4,0.4238186499723738,blosum40,NYE-S3
5,0.4201156892470716,blosum45,NYE-S3
6,0.4286058762236964,blosum50,NYE-S3
7,0.42648301872008104,blosum55,NYE-S3
8,0.4182857033231838,blosum60,NYE-S3
9,0.4208353973601938,blosum65,NYE-S3
10,0.41523243340740973,blosum70,NYE-S3
11,0.41981748086814286,blosum75,NYE-S3
12,0.4152841668459226,blosum80,NYE-S3
13,0.4246212465209863,blosum85,NYE-S3
14,0.4331786047545517,blosum90,NYE-S3
15,0.43604247355494963,blosum100,NYE-S3
16,0.4552530964418458,pam10,NYE-S3
17,0.4577651871355025,pam20,NYE-S3
18,0.45296480888268376,pam30,NYE-S3
19,0.4502639986909382,pam40,NYE-S3
20,0.4403064987603515,pam50,NYE-S3
21,0.4483768136871952,pam60,NYE-S3
22,0.44837357063945243,pam70,NYE-S3
23,0.44529920836100223,pam80,NYE-S3
24,0.44386318552839243,pam90,NYE-S3
25,0.4426279918371856,pam100,NYE-S3
26,0.4307743577965125,pam110,NYE-S3
27,0.43611416410755977,pam120,NYE-S3
28,0.42711511216678133,pam130,NYE-S3
29,0.4301898926186489,pam140,NYE-S3
30,0.4349467567640092,pam150,NYE-S3
31,0.44563888613246333,pam160,NYE-S3
32,0.42923256666813214,pam170,NYE-S3
33,0.4400095800664802,pam180,NYE-S3
34,0.4367080937869684,pam190,NYE-S3
35,0.3973879175383107,pam200,NYE-S3
36,0.4059886903333248,pam210,NYE-S3
37,0.40368336783335595,pam220,NYE-S3
38,0.40777083175580825,pam230,NYE-S3
39,0.44537661433315323,pam240,NYE-S3
40,0.44527341043766044,pam250,NYE-S3
41,0.3377969202109649,pam260,NYE-S3
42,0.4068159489714255,pam270,NYE-S3
43,0.438457239065216,pam280,NYE-S3
44,0.4447845008532698,pam290,NYE-S3
45,0.3290033086974523,pam300,NYE-S3
46,0.33837976310064677,pam310,NYE-S3
47,0.3417887356180503,pam320,NYE-S3
48,0.33312063801683994,pam330,NYE-S3
49,0.33590897171585976,pam340,NYE-S3
50,0.3197846398430222,pam350,NYE-S3
51,0.34489617624724705,pam360,NYE-S3
52,0.32818336144086047,pam370,NYE-S3
53,0.3272055977356039,pam380,NYE-S3
54,0.3511273079973424,pam390,NYE-S3
55,0.3551175623421245,pam400,NYE-S3
56,0.32078801710721566,pam410,NYE-S3
57,0.3271269093359258,pam420,NYE-S3
58,0.33092013942373005,pam430,NYE-S3
59,0.3353812543167039,pam440,NYE-S3
60,0.34431221704925374,pam450,NYE-S3
61,0.3438745177004047,pam460,NYE-S3
62,0.3372369582119822,pam470,NYE-S3
63,0.3338006428257842,pam480,NYE-S3
64,0.34430534917839906,pam490,NYE-S3
65,0.3537783485725351,pam500,NYE-S3
66,0.44527341043766044,dayhoff,NYE-S3
67,0.4133990683620955,gonnet,NYE-S3
