,Spearman r,aa_matrix,tcr
0,0.8081467514920897,hamming,OT1
1,0.6254586922278701,blosum62,OT1
2,0.6506837299317729,blosum30,OT1
3,0.6436019948400078,blosum35,OT1
4,0.6489663439250906,blosum40,OT1
5,0.6707177995129858,blosum45,OT1
6,0.6170047165244857,blosum50,OT1
7,0.6449509633781285,blosum55,OT1
8,0.6250193919815139,blosum60,OT1
9,0.62051910282646,blosum65,OT1
10,0.6139215234773261,blosum70,OT1
11,0.626413363381823,blosum75,OT1
12,0.6614978951267767,blosum80,OT1
13,0.6584901617106919,blosum85,OT1
14,0.6634177479293567,blosum90,OT1
15,0.6723684837290776,blosum100,OT1
16,0.6802720261440756,pam10,OT1
17,0.6784204953256256,pam20,OT1
18,0.6669192068658916,pam30,OT1
19,0.6702326236059373,pam40,OT1
20,0.6592748461813518,pam50,OT1
21,0.6612588409359329,pam60,OT1
22,0.6514974904106998,pam70,OT1
23,0.6531558484383357,pam80,OT1
24,0.6536549700990638,pam90,OT1
25,0.6489458715027618,pam100,OT1
26,0.6572408356545216,pam110,OT1
27,0.6535449194251903,pam120,OT1
28,0.6334492604193962,pam130,OT1
29,0.632278543701066,pam140,OT1
30,0.6096008813181013,pam150,OT1
31,0.6242962273626672,pam160,OT1
32,0.6096365792808206,pam170,OT1
33,0.5988071915878966,pam180,OT1
34,0.6298971575083618,pam190,OT1
35,0.6224894322533141,pam200,OT1
36,0.603510933596239,pam210,OT1
37,0.598299208975444,pam220,OT1
38,0.5934444684239988,pam230,OT1
39,0.5908373298975889,pam240,OT1
40,0.5874296771095366,pam250,OT1
41,0.5958370911070684,pam260,OT1
42,0.5844219549237658,pam270,OT1
43,0.5719863526713103,pam280,OT1
44,0.5698123249027771,pam290,OT1
45,0.5791027223975906,pam300,OT1
46,0.549484210465029,pam310,OT1
47,0.5593866595370788,pam320,OT1
48,0.5343461270781045,pam330,OT1
49,0.5477284010983506,pam340,OT1
50,0.557656238539675,pam350,OT1
51,0.5240081948166407,pam360,OT1
52,0.5373743610494512,pam370,OT1
53,0.5232812245366193,pam380,OT1
54,0.530092920407478,pam390,OT1
55,0.5638817852290376,pam400,OT1
56,0.4877697715626953,pam410,OT1
57,0.4799075280895767,pam420,OT1
58,0.4825230824442913,pam430,OT1
59,0.49909490677515544,pam440,OT1
60,0.5129015031118098,pam450,OT1
61,0.4921186694481977,pam460,OT1
62,0.4995108964092584,pam470,OT1
63,0.4837576064532609,pam480,OT1
64,0.4736117144817714,pam490,OT1
65,0.46917800697827267,pam500,OT1
66,0.5843458616903444,dayhoff,OT1
67,0.5274660102705643,gonnet,OT1
