,Spearman r,aa_matrix,tcr
0,0.7445157033910326,hamming,R28
1,0.5320359996021705,blosum62,R28
2,0.5432612709239379,blosum30,R28
3,0.5500531061974541,blosum35,R28
4,0.5484127646189714,blosum40,R28
5,0.5566554748961854,blosum45,R28
6,0.5087467294077582,blosum50,R28
7,0.5266516460978727,blosum55,R28
8,0.5293412095901838,blosum60,R28
9,0.5251584336011843,blosum65,R28
10,0.503921488986297,blosum70,R28
11,0.5312410026738277,blosum75,R28
12,0.5512066014314445,blosum80,R28
13,0.551261952219018,blosum85,R28
14,0.5627337975648876,blosum90,R28
15,0.5843435038686886,blosum100,R28
16,0.5347857518367374,pam10,R28
17,0.5294132111986195,pam20,R28
18,0.5290361143842854,pam30,R28
19,0.5089866588035055,pam40,R28
20,0.5215279170226365,pam50,R28
21,0.48606579988792464,pam60,R28
22,0.48845082520601385,pam70,R28
23,0.470960965323939,pam80,R28
24,0.4907790188079274,pam90,R28
25,0.4994566131157924,pam100,R28
26,0.47486037107164975,pam110,R28
27,0.44328129753682505,pam120,R28
28,0.44504529628757067,pam130,R28
29,0.45289709187613736,pam140,R28
30,0.43626622512823987,pam150,R28
31,0.4266905669720676,pam160,R28
32,0.438979813180184,pam170,R28
33,0.43504303968962554,pam180,R28
34,0.45534446023282704,pam190,R28
35,0.40237216737583914,pam200,R28
36,0.4102645978207038,pam210,R28
37,0.4014039924834603,pam220,R28
38,0.3989622750626509,pam230,R28
39,0.4185580365380199,pam240,R28
40,0.4190660527033141,pam250,R28
41,0.3413420519052813,pam260,R28
42,0.39032481938795416,pam270,R28
43,0.40264703235438953,pam280,R28
44,0.40117161728536355,pam290,R28
45,0.35094619069104815,pam300,R28
46,0.3418640789463061,pam310,R28
47,0.34592273936028584,pam320,R28
48,0.30640229941001196,pam330,R28
49,0.3245126748274874,pam340,R28
50,0.303625083393503,pam350,R28
51,0.2810353436657343,pam360,R28
52,0.27848059344557086,pam370,R28
53,0.30795603547619643,pam380,R28
54,0.32396268234970005,pam390,R28
55,0.3363670722744302,pam400,R28
56,0.2711012726571215,pam410,R28
57,0.2638810649929434,pam420,R28
58,0.2606255312964145,pam430,R28
59,0.2803770866766938,pam440,R28
60,0.2575632886564086,pam450,R28
61,0.24784594290130185,pam460,R28
62,0.2859735295832727,pam470,R28
63,0.23012727994143328,pam480,R28
64,0.2328408429949123,pam490,R28
65,0.23409487229955522,pam500,R28
66,0.4190660527033141,dayhoff,R28
67,0.3878578093306932,gonnet,R28
