,Spearman r,aa_matrix,tcr
0,0.6096889139295671,hamming,T3
1,0.39570314607819673,blosum62,T3
2,0.3781701612775207,blosum30,T3
3,0.38890514787348535,blosum35,T3
4,0.40180180889382616,blosum40,T3
5,0.39862614959841397,blosum45,T3
6,0.40768456811309184,blosum50,T3
7,0.39022067380259967,blosum55,T3
8,0.40632625987575866,blosum60,T3
9,0.40379068054329925,blosum65,T3
10,0.40027617139882593,blosum70,T3
11,0.3914260730780915,blosum75,T3
12,0.40866388731189973,blosum80,T3
13,0.4121168719952374,blosum85,T3
14,0.40504601031390874,blosum90,T3
15,0.4043094606610788,blosum100,T3
16,0.36014898004196894,pam10,T3
17,0.3745542852315184,pam20,T3
18,0.36257818098505384,pam30,T3
19,0.36365427711793535,pam40,T3
20,0.3695013001839945,pam50,T3
21,0.3728631319712735,pam60,T3
22,0.34968978922887045,pam70,T3
23,0.33590791656070057,pam80,T3
24,0.3453645279715651,pam90,T3
25,0.3359858891101535,pam100,T3
26,0.34647352292127487,pam110,T3
27,0.37194880841484457,pam120,T3
28,0.3733443432621842,pam130,T3
29,0.32545504278143655,pam140,T3
30,0.31763779458935504,pam150,T3
31,0.32530353215061725,pam160,T3
32,0.30755687482042426,pam170,T3
33,0.32428583879202916,pam180,T3
34,0.3224375624832758,pam190,T3
35,0.3327137233880798,pam200,T3
36,0.32272077008270345,pam210,T3
37,0.3173728894482754,pam220,T3
38,0.3141827473794879,pam230,T3
39,0.3315490428177229,pam240,T3
40,0.3463021889013357,pam250,T3
41,0.30492987848487274,pam260,T3
42,0.3080830571523331,pam270,T3
43,0.29904119494235093,pam280,T3
44,0.3023440261823679,pam290,T3
45,0.27634386022442287,pam300,T3
46,0.3030069623855074,pam310,T3
47,0.23234202932311723,pam320,T3
48,0.2172362056008681,pam330,T3
49,0.21987598753208343,pam340,T3
50,0.24828078849459065,pam350,T3
51,0.19331197365350866,pam360,T3
52,0.19260505473668027,pam370,T3
53,0.19116663064552689,pam380,T3
54,0.19073102908281264,pam390,T3
55,0.18252811159348753,pam400,T3
56,0.19721929332233817,pam410,T3
57,0.20165821495044978,pam420,T3
58,0.20069661065668792,pam430,T3
59,0.19946589989126878,pam440,T3
60,0.1881707700560206,pam450,T3
61,0.17796959307443655,pam460,T3
62,0.17247335138729897,pam470,T3
63,0.16439155829870242,pam480,T3
64,0.17535908040518822,pam490,T3
65,0.1746701404034755,pam500,T3
66,0.3418382509121668,dayhoff,T3
67,0.35639940868395115,gonnet,T3
