,Spearman r,aa_matrix,tcr
0,0.8073266446929921,hamming,TCR-F5
1,0.7151791168928712,blosum62,TCR-F5
2,0.7127706864804356,blosum30,TCR-F5
3,0.7282295501341465,blosum35,TCR-F5
4,0.7291215294828386,blosum40,TCR-F5
5,0.7262080331032793,blosum45,TCR-F5
6,0.7182165617389566,blosum50,TCR-F5
7,0.7193563190551813,blosum55,TCR-F5
8,0.7160927765990646,blosum60,TCR-F5
9,0.712609796831092,blosum65,TCR-F5
10,0.7127798648402137,blosum70,TCR-F5
11,0.7118093974411889,blosum75,TCR-F5
12,0.7182622065406135,blosum80,TCR-F5
13,0.7141583455653626,blosum85,TCR-F5
14,0.7144140574973714,blosum90,TCR-F5
15,0.7195675859018165,blosum100,TCR-F5
16,0.692378874805448,pam10,TCR-F5
17,0.6969388247964361,pam20,TCR-F5
18,0.6947792018935234,pam30,TCR-F5
19,0.694765538347153,pam40,TCR-F5
20,0.6978385944798905,pam50,TCR-F5
21,0.69550446825632,pam60,TCR-F5
22,0.6900681671051142,pam70,TCR-F5
23,0.6758573786962495,pam80,TCR-F5
24,0.6819131061292566,pam90,TCR-F5
25,0.6654074132982203,pam100,TCR-F5
26,0.6651584217816318,pam110,TCR-F5
27,0.6882672732030325,pam120,TCR-F5
28,0.6855871416406105,pam130,TCR-F5
29,0.6649543712397754,pam140,TCR-F5
30,0.6582207345156774,pam150,TCR-F5
31,0.6572051679883602,pam160,TCR-F5
32,0.6364795914828062,pam170,TCR-F5
33,0.6400507220329553,pam180,TCR-F5
34,0.637175571559221,pam190,TCR-F5
35,0.6343593387070288,pam200,TCR-F5
36,0.6395499748678615,pam210,TCR-F5
37,0.6229768591535821,pam220,TCR-F5
38,0.6018538487668227,pam230,TCR-F5
39,0.604936858858195,pam240,TCR-F5
40,0.6270725885331511,pam250,TCR-F5
41,0.5950886980011407,pam260,TCR-F5
42,0.6057620749745164,pam270,TCR-F5
43,0.5942054170837323,pam280,TCR-F5
44,0.5914470940998899,pam290,TCR-F5
45,0.5569003637277108,pam300,TCR-F5
46,0.5620409175631563,pam310,TCR-F5
47,0.5424293904952127,pam320,TCR-F5
48,0.5223099829675908,pam330,TCR-F5
49,0.5118536650788288,pam340,TCR-F5
50,0.5406770702189583,pam350,TCR-F5
51,0.4775935626455142,pam360,TCR-F5
52,0.4861623135413038,pam370,TCR-F5
53,0.4730967023503213,pam380,TCR-F5
54,0.4757015263100895,pam390,TCR-F5
55,0.4821825755268708,pam400,TCR-F5
56,0.47188145720730634,pam410,TCR-F5
57,0.4631640942613374,pam420,TCR-F5
58,0.4597558535096812,pam430,TCR-F5
59,0.4638077271899116,pam440,TCR-F5
60,0.4582935210701412,pam450,TCR-F5
61,0.4457552461739594,pam460,TCR-F5
62,0.45760662404898306,pam470,TCR-F5
63,0.44876170252406017,pam480,TCR-F5
64,0.4167693401529323,pam490,TCR-F5
65,0.4186384943318952,pam500,TCR-F5
66,0.6256801125176956,dayhoff,TCR-F5
67,0.6663717212349232,gonnet,TCR-F5
