,Spearman r,aa_matrix,tcr
0,0.6386809405582469,hamming,TCR1-T
1,0.3650044138727231,blosum62,TCR1-T
2,0.4145079164566855,blosum30,TCR1-T
3,0.44659287376863704,blosum35,TCR1-T
4,0.4226920568985159,blosum40,TCR1-T
5,0.4059324804602139,blosum45,TCR1-T
6,0.37502425733369066,blosum50,TCR1-T
7,0.37750821123597883,blosum55,TCR1-T
8,0.37557977397104186,blosum60,TCR1-T
9,0.3661907445006872,blosum65,TCR1-T
10,0.3554834251589493,blosum70,TCR1-T
11,0.35394325761772166,blosum75,TCR1-T
12,0.37414959111151874,blosum80,TCR1-T
13,0.39964719697226614,blosum85,TCR1-T
14,0.38407991823786175,blosum90,TCR1-T
15,0.41642061884735193,blosum100,TCR1-T
16,0.4289551358475802,pam10,TCR1-T
17,0.4276808680805385,pam20,TCR1-T
18,0.3954334152150138,pam30,TCR1-T
19,0.405592235530239,pam40,TCR1-T
20,0.3894040616760175,pam50,TCR1-T
21,0.3775482140643821,pam60,TCR1-T
22,0.3717066433050375,pam70,TCR1-T
23,0.3955202919515787,pam80,TCR1-T
24,0.37130859480491846,pam90,TCR1-T
25,0.36570395788786647,pam100,TCR1-T
26,0.3838819268168606,pam110,TCR1-T
27,0.3910791334093167,pam120,TCR1-T
28,0.36220964748051265,pam130,TCR1-T
29,0.36522874484208173,pam140,TCR1-T
30,0.3458747931621093,pam150,TCR1-T
31,0.36032517507127926,pam160,TCR1-T
32,0.3421776333835386,pam170,TCR1-T
33,0.3275189132084967,pam180,TCR1-T
34,0.34499932850792303,pam190,TCR1-T
35,0.34113406186312895,pam200,TCR1-T
36,0.33531616701150235,pam210,TCR1-T
37,0.33290161840017934,pam220,TCR1-T
38,0.3321910245578026,pam230,TCR1-T
39,0.32657895671492276,pam240,TCR1-T
40,0.32864586847083627,pam250,TCR1-T
41,0.29992469914465747,pam260,TCR1-T
42,0.317285835478608,pam270,TCR1-T
43,0.31117579724231625,pam280,TCR1-T
44,0.298142028640225,pam290,TCR1-T
45,0.2815393987616851,pam300,TCR1-T
46,0.25965320718443474,pam310,TCR1-T
47,0.27971960386137557,pam320,TCR1-T
48,0.2676514797838494,pam330,TCR1-T
49,0.2750219510797045,pam340,TCR1-T
50,0.2815209735747877,pam350,TCR1-T
51,0.25414333806134254,pam360,TCR1-T
52,0.24347949376138728,pam370,TCR1-T
53,0.24920466990798779,pam380,TCR1-T
54,0.26699151992391146,pam390,TCR1-T
55,0.30557535099582633,pam400,TCR1-T
56,0.23960160998886293,pam410,TCR1-T
57,0.24770320890529188,pam420,TCR1-T
58,0.25268179440111427,pam430,TCR1-T
59,0.26015467796691183,pam440,TCR1-T
60,0.2719208206642534,pam450,TCR1-T
61,0.2544868842697717,pam460,TCR1-T
62,0.2613446360311545,pam470,TCR1-T
63,0.26328676855545186,pam480,TCR1-T
64,0.2445131712821853,pam490,TCR1-T
65,0.23773306166528435,pam500,TCR1-T
66,0.3378100124925213,dayhoff,TCR1-T
67,0.27254744748311055,gonnet,TCR1-T
