,Spearman r,aa_matrix,tcr
0,0.7608451354317305,hamming,TCR7
1,0.6800843003462527,blosum62,TCR7
2,0.7019545657801293,blosum30,TCR7
3,0.6868579162591697,blosum35,TCR7
4,0.6872992151691102,blosum40,TCR7
5,0.6978570586270667,blosum45,TCR7
6,0.6857684941262525,blosum50,TCR7
7,0.687646218758235,blosum55,TCR7
8,0.6835359874701137,blosum60,TCR7
9,0.6848919874056867,blosum65,TCR7
10,0.6799419888689702,blosum70,TCR7
11,0.6790962020113547,blosum75,TCR7
12,0.6860324721010697,blosum80,TCR7
13,0.6736687611006528,blosum85,TCR7
14,0.6827694738856118,blosum90,TCR7
15,0.6860327991302257,blosum100,TCR7
16,0.6419346770035956,pam10,TCR7
17,0.6383655728592079,pam20,TCR7
18,0.6382099804902751,pam30,TCR7
19,0.6351757683441612,pam40,TCR7
20,0.616682747992445,pam50,TCR7
21,0.6278592127566157,pam60,TCR7
22,0.6190581534765032,pam70,TCR7
23,0.6351279643992942,pam80,TCR7
24,0.637172112084509,pam90,TCR7
25,0.6103881866755191,pam100,TCR7
26,0.6102106634089293,pam110,TCR7
27,0.6111514131970257,pam120,TCR7
28,0.6087262176297995,pam130,TCR7
29,0.6127537724226627,pam140,TCR7
30,0.61573212417144,pam150,TCR7
31,0.62172416134176,pam160,TCR7
32,0.605986211495222,pam170,TCR7
33,0.6106152109515536,pam180,TCR7
34,0.6177342808599182,pam190,TCR7
35,0.6122607585652174,pam200,TCR7
36,0.6115938998910402,pam210,TCR7
37,0.6150199976336738,pam220,TCR7
38,0.6130667605405451,pam230,TCR7
39,0.6120087494452903,pam240,TCR7
40,0.6034863391241867,pam250,TCR7
41,0.5873077856904125,pam260,TCR7
42,0.5840782437411187,pam270,TCR7
43,0.5817474928665103,pam280,TCR7
44,0.5803178669145838,pam290,TCR7
45,0.5672309300723734,pam300,TCR7
46,0.5939647794996086,pam310,TCR7
47,0.5670613997615376,pam320,TCR7
48,0.5324209419625207,pam330,TCR7
49,0.49020421737968434,pam340,TCR7
50,0.5643988183010464,pam350,TCR7
51,0.5358443533222191,pam360,TCR7
52,0.5308384259067048,pam370,TCR7
53,0.4826608513892682,pam380,TCR7
54,0.4538769490830387,pam390,TCR7
55,0.45334398564928174,pam400,TCR7
56,0.4829666934058633,pam410,TCR7
57,0.46185461329407984,pam420,TCR7
58,0.45497248401983625,pam430,TCR7
59,0.4408037890399581,pam440,TCR7
60,0.44707273682085064,pam450,TCR7
61,0.4552174114831482,pam460,TCR7
62,0.4462691968726683,pam470,TCR7
63,0.4440247191475919,pam480,TCR7
64,0.414854925145983,pam490,TCR7
65,0.42003946227902783,pam500,TCR7
66,0.6033972405055267,dayhoff,TCR7
67,0.6527382440085885,gonnet,TCR7
