,Spearman r,aa_matrix,tcr
0,0.5751815650864844,hamming,YAe10-106.3
1,0.5583695671848488,blosum62,YAe10-106.3
2,0.5981647431388983,blosum30,YAe10-106.3
3,0.5660301700970715,blosum35,YAe10-106.3
4,0.5637867228449821,blosum40,YAe10-106.3
5,0.5363186589529876,blosum45,YAe10-106.3
6,0.5518724417952419,blosum50,YAe10-106.3
7,0.5468873603046809,blosum55,YAe10-106.3
8,0.5291332210205709,blosum60,YAe10-106.3
9,0.532112601667126,blosum65,YAe10-106.3
10,0.541706045796975,blosum70,YAe10-106.3
11,0.5053876857851467,blosum75,YAe10-106.3
12,0.5330360394869557,blosum80,YAe10-106.3
13,0.5137539914612663,blosum85,YAe10-106.3
14,0.5223939093922073,blosum90,YAe10-106.3
15,0.5595462431543963,blosum100,YAe10-106.3
16,0.47331249895984867,pam10,YAe10-106.3
17,0.4805034906648865,pam20,YAe10-106.3
18,0.4806080348179895,pam30,YAe10-106.3
19,0.4638163204354269,pam40,YAe10-106.3
20,0.48032111377634196,pam50,YAe10-106.3
21,0.46917522076814333,pam60,YAe10-106.3
22,0.47027442683032855,pam70,YAe10-106.3
23,0.47212437891624975,pam80,YAe10-106.3
24,0.4628514785923362,pam90,YAe10-106.3
25,0.4554603052827278,pam100,YAe10-106.3
26,0.4468397051625435,pam110,YAe10-106.3
27,0.45584070742499294,pam120,YAe10-106.3
28,0.43968941924893523,pam130,YAe10-106.3
29,0.43407553334817006,pam140,YAe10-106.3
30,0.4281387899086885,pam150,YAe10-106.3
31,0.44091171464757456,pam160,YAe10-106.3
32,0.41663945210543146,pam170,YAe10-106.3
33,0.42173875202359384,pam180,YAe10-106.3
34,0.4202892770715538,pam190,YAe10-106.3
35,0.4254493618424341,pam200,YAe10-106.3
36,0.4190730619150399,pam210,YAe10-106.3
37,0.42147643278785923,pam220,YAe10-106.3
38,0.4205894194126639,pam230,YAe10-106.3
39,0.4272218463143447,pam240,YAe10-106.3
40,0.43449318655911123,pam250,YAe10-106.3
41,0.40815297043539245,pam260,YAe10-106.3
42,0.41490149521645786,pam270,YAe10-106.3
43,0.4034548226339535,pam280,YAe10-106.3
44,0.39380510188066176,pam290,YAe10-106.3
45,0.397786734980461,pam300,YAe10-106.3
46,0.3891880694673758,pam310,YAe10-106.3
47,0.3933426596208759,pam320,YAe10-106.3
48,0.38372502562040145,pam330,YAe10-106.3
49,0.34702425317939756,pam340,YAe10-106.3
50,0.39694375914209845,pam350,YAe10-106.3
51,0.39592642557687785,pam360,YAe10-106.3
52,0.4060462132131061,pam370,YAe10-106.3
53,0.37454965463300344,pam380,YAe10-106.3
54,0.3762539191098534,pam390,YAe10-106.3
55,0.3847227254810277,pam400,YAe10-106.3
56,0.3713901651621409,pam410,YAe10-106.3
57,0.36749997920797695,pam420,YAe10-106.3
58,0.34976340127538463,pam430,YAe10-106.3
59,0.35457342525110186,pam440,YAe10-106.3
60,0.3453171025989113,pam450,YAe10-106.3
61,0.34333597191617404,pam460,YAe10-106.3
62,0.35146498981168517,pam470,YAe10-106.3
63,0.34806403087639093,pam480,YAe10-106.3
64,0.35013153108368245,pam490,YAe10-106.3
65,0.3431982492640941,pam500,YAe10-106.3
66,0.43449318655911123,dayhoff,YAe10-106.3
67,0.4068107246202402,gonnet,YAe10-106.3
