,Spearman r,aa_matrix,tcr
0,0.7076570668494708,hamming,YAe9-99
1,0.6132805432380133,blosum62,YAe9-99
2,0.6490099327542801,blosum30,YAe9-99
3,0.6419221807031901,blosum35,YAe9-99
4,0.623752629369519,blosum40,YAe9-99
5,0.6218609039781242,blosum45,YAe9-99
6,0.5993587477446605,blosum50,YAe9-99
7,0.5947941858294332,blosum55,YAe9-99
8,0.6089925387835012,blosum60,YAe9-99
9,0.6133594284405509,blosum65,YAe9-99
10,0.6258706382364759,blosum70,YAe9-99
11,0.6058341178124931,blosum75,YAe9-99
12,0.6204974866095155,blosum80,YAe9-99
13,0.6177011965102318,blosum85,YAe9-99
14,0.6128574258150549,blosum90,YAe9-99
15,0.6219688697521162,blosum100,YAe9-99
16,0.6184303301351673,pam10,YAe9-99
17,0.6171069534009684,pam20,YAe9-99
18,0.60912662510146,pam30,YAe9-99
19,0.5969202473522103,pam40,YAe9-99
20,0.6079197181928158,pam50,YAe9-99
21,0.5918119460475595,pam60,YAe9-99
22,0.5927392908920996,pam70,YAe9-99
23,0.5811240787997114,pam80,YAe9-99
24,0.5856326128413638,pam90,YAe9-99
25,0.5708387008904225,pam100,YAe9-99
26,0.5660996524374281,pam110,YAe9-99
27,0.5861261439558857,pam120,YAe9-99
28,0.5883369211655468,pam130,YAe9-99
29,0.5732620715095268,pam140,YAe9-99
30,0.5584546197168065,pam150,YAe9-99
31,0.5511927429220939,pam160,YAe9-99
32,0.5370297535279376,pam170,YAe9-99
33,0.54916036756151,pam180,YAe9-99
34,0.5184095322427503,pam190,YAe9-99
35,0.5063055787415497,pam200,YAe9-99
36,0.5193484046800927,pam210,YAe9-99
37,0.47304022863890066,pam220,YAe9-99
38,0.4914932699499429,pam230,YAe9-99
39,0.504091361949706,pam240,YAe9-99
40,0.5280921689554379,pam250,YAe9-99
41,0.5096578546044993,pam260,YAe9-99
42,0.516350424812655,pam270,YAe9-99
43,0.4879117268604588,pam280,YAe9-99
44,0.4687987307494417,pam290,YAe9-99
45,0.4752712892995644,pam300,YAe9-99
46,0.47769370997520627,pam310,YAe9-99
47,0.5114900669625918,pam320,YAe9-99
48,0.43399011661646336,pam330,YAe9-99
49,0.39199114647322214,pam340,YAe9-99
50,0.47793033628874254,pam350,YAe9-99
51,0.4328822421139874,pam360,YAe9-99
52,0.4208900691099459,pam370,YAe9-99
53,0.39103627695445414,pam380,YAe9-99
54,0.37025094013129906,pam390,YAe9-99
55,0.361193646008213,pam400,YAe9-99
56,0.347303360832304,pam410,YAe9-99
57,0.3425782491487837,pam420,YAe9-99
58,0.34488370506445454,pam430,YAe9-99
59,0.3411712120520308,pam440,YAe9-99
60,0.3360510957924303,pam450,YAe9-99
61,0.3236702451367968,pam460,YAe9-99
62,0.34488370506445454,pam470,YAe9-99
63,0.3480906685456283,pam480,YAe9-99
64,0.3461259226934602,pam490,YAe9-99
65,0.3197313032155756,pam500,YAe9-99
66,0.5280921689554379,dayhoff,YAe9-99
67,0.537393457587217,gonnet,YAe9-99
