,Spearman r,aa_matrix,tcr
0,0.37415666953496657,hamming,c259
1,0.23426806796548627,blosum62,c259
2,0.24683058041370104,blosum30,c259
3,0.24689834247681314,blosum35,c259
4,0.26004787828259157,blosum40,c259
5,0.2442981807290398,blosum45,c259
6,0.2346464300586384,blosum50,c259
7,0.2375891094526965,blosum55,c259
8,0.24041249824231045,blosum60,c259
9,0.23397102943733844,blosum65,c259
10,0.24164457617261442,blosum70,c259
11,0.24170158693466393,blosum75,c259
12,0.22660782940236018,blosum80,c259
13,0.20530288275160197,blosum85,c259
14,0.2244321622832423,blosum90,c259
15,0.23965405279258906,blosum100,c259
16,0.24201372146784958,pam10,c259
17,0.2473242474408089,pam20,c259
18,0.23688028833075925,pam30,c259
19,0.22161610668325257,pam40,c259
20,0.21908482337366975,pam50,c259
21,0.21210859458868447,pam60,c259
22,0.214910295533883,pam70,c259
23,0.21095494832006403,pam80,c259
24,0.21594794677411072,pam90,c259
25,0.21039867055069345,pam100,c259
26,0.20040838507045705,pam110,c259
27,0.19415501766067897,pam120,c259
28,0.21296317721422597,pam130,c259
29,0.22058031743200973,pam140,c259
30,0.21303514477023025,pam150,c259
31,0.19223409498193528,pam160,c259
32,0.18307313468915548,pam170,c259
33,0.19366887326859697,pam180,c259
34,0.21268597760121383,pam190,c259
35,0.1954783203024974,pam200,c259
36,0.1787509628884939,pam210,c259
37,0.1962347933552937,pam220,c259
38,0.201114283141021,pam230,c259
39,0.21313425447875645,pam240,c259
40,0.21598540338724784,pam250,c259
41,0.18115334260192822,pam260,c259
42,0.19008623473074518,pam270,c259
43,0.22737350979978155,pam280,c259
44,0.2144874368114465,pam290,c259
45,0.18042332127976007,pam300,c259
46,0.1751303982485834,pam310,c259
47,0.16516726490507927,pam320,c259
48,0.1829030031075731,pam330,c259
49,0.1904857511708271,pam340,c259
50,0.18726853030541402,pam350,c259
51,0.18941357326414598,pam360,c259
52,0.18059033894635393,pam370,c259
53,0.19474714537846743,pam380,c259
54,0.1974247455677896,pam390,c259
55,0.19494853568318046,pam400,c259
56,0.1997500140141843,pam410,c259
57,0.2084318423390029,pam420,c259
58,0.20948884941263776,pam430,c259
59,0.208464975461982,pam440,c259
60,0.21257387124438937,pam450,c259
61,0.21507805690260748,pam460,c259
62,0.1976398113947627,pam470,c259
63,0.21561433537489333,pam480,c259
64,0.2245752155799649,pam490,c259
65,0.22415650596950432,pam500,c259
66,0.21598540338724784,dayhoff,c259
67,0.22958999280328302,gonnet,c259
