,WS,NS,NW,aa_matrix,tcr
0,0.5,0.7391304347826088,0.6497742474916388,hamming,H5
1,0.5,0.9565217391304348,0.717076232945798,blosum62,H5
2,0.5,0.7826086956521738,0.643343419865159,blosum30,H5
3,0.5,0.8695652173913043,0.726177602590646,blosum35,H5
4,0.5,0.8695652173913043,0.6852261506609333,blosum40,H5
5,0.5,0.9130434782608696,0.684023331740723,blosum45,H5
6,0.5,0.9130434782608696,0.7087102511015555,blosum50,H5
7,0.5,0.9130434782608695,0.7156943780856825,blosum55,H5
8,0.5,0.9565217391304348,0.7186890162977119,blosum60,H5
9,0.5,0.9565217391304348,0.7001356373095504,blosum65,H5
10,0.5,0.8913043478260869,0.729697138610182,blosum70,H5
11,0.5,0.9347826086956522,0.7328627169931518,blosum75,H5
12,0.5,0.9565217391304348,0.7243268567181611,blosum80,H5
13,0.5,0.8913043478260869,0.7415155014068058,blosum85,H5
14,0.5,0.8913043478260869,0.7244672718585763,blosum90,H5
15,0.5,0.9565217391304348,0.7347603121516165,blosum100,H5
16,0.5,1.0,0.7546565270478315,pam10,H5
17,0.5,1.0,0.7469214843127886,pam20,H5
18,0.5,1.0,0.7282696289218029,pam30,H5
19,0.5,1.0,0.7097765036895471,pam40,H5
20,0.5,1.0,0.7136023517545256,pam50,H5
21,0.5,1.0,0.7222450496363539,pam60,H5
22,0.5,1.0,0.7077294685990339,pam70,H5
23,1.0,1.0,0.6936093857832988,pam80,H5
24,0.5,1.0,0.7087020226150661,pam90,H5
25,0.5,1.0,0.707366088018262,pam100,H5
26,1.0,1.0,0.7049240855762595,pam110,H5
27,1.0,1.0,0.6715347454477889,pam120,H5
28,1.0,1.0,0.6732858204597335,pam130,H5
29,1.0,1.0,0.6873660880182618,pam140,H5
30,0.5,1.0,0.6639430376386898,pam150,H5
31,0.5,1.0,0.6782531719488242,pam160,H5
32,0.5,1.0,0.7027100918405267,pam170,H5
33,0.5,1.0,0.6933195307108351,pam180,H5
34,0.5,1.0,0.6735016191537931,pam190,H5
35,0.5,1.0,0.6616648086213304,pam200,H5
36,0.5,1.0,0.6772601794340926,pam210,H5
37,0.5,1.0,0.6709454796411318,pam220,H5
38,1.0,1.0,0.6462517916865743,pam230,H5
39,1.0,1.0,0.6523629027976854,pam240,H5
40,1.0,1.0,0.6433284227849445,pam250,H5
41,1.0,0.9565217391304348,0.6498505600679513,pam260,H5
42,1.0,1.0,0.6349320486277008,pam270,H5
43,1.0,1.0,0.6425816212772734,pam280,H5
44,1.0,1.0,0.6326670913627435,pam290,H5
45,1.0,0.9565217391304348,0.607227265488135,pam300,H5
46,1.0,0.9565217391304348,0.6076851409460106,pam310,H5
47,1.0,0.9565217391304348,0.630528215745607,pam320,H5
48,0.5,0.782608695652174,0.6625399479747306,pam330,H5
49,0.75,0.9347826086956521,0.6278223708658491,pam340,H5
50,1.0,0.9565217391304348,0.5858292190900886,pam350,H5
51,1.0,0.9347826086956521,0.581304347826087,pam360,H5
52,1.0,0.9347826086956521,0.6408416945373467,pam370,H5
53,1.0,0.891304347826087,0.6216831236396454,pam380,H5
54,0.75,0.891304347826087,0.6272108085151563,pam390,H5
55,0.75,0.891304347826087,0.6067224080267558,pam400,H5
56,1.0,0.8695652173913043,0.6084464086638,pam410,H5
57,1.0,0.8695652173913043,0.619514784732176,pam420,H5
58,0.75,0.8695652173913043,0.6217462971810799,pam430,H5
59,0.75,0.8695652173913043,0.6053177257525084,pam440,H5
60,0.75,0.8913043478260869,0.5962186123055688,pam450,H5
61,0.75,0.8695652173913043,0.5904010723575941,pam460,H5
62,0.75,0.8695652173913043,0.6036693741041568,pam470,H5
63,0.75,0.8695652173913043,0.6173995328343155,pam480,H5
64,0.75,0.8695652173913043,0.5928735998301214,pam490,H5
65,0.75,0.8695652173913043,0.5813107182672399,pam500,H5
66,1.0,1.0,0.6340518660083878,dayhoff,H5
67,0.5,0.9130434782608696,0.7004236343366778,gonnet,H5
