,WS,NS,NW,type
NLV2,0.6244444444444446,0.8609523809523809,0.7931764705882353,Full_unpooled
NLV3,0.43285714285714294,0.8313353313353312,0.803880742913001,Full_unpooled
11A10,0.824963924963925,0.940624303232999,0.8143606073560308,Full_unpooled
12A11,0.7937074829931973,0.9406575880260091,0.7774863294600137,Full_unpooled
18A2,0.8432804232804234,0.9412197159565581,0.6972439431913117,Full_unpooled
7A10,0.7683333333333333,0.994017094017094,0.881155474155474,Full_unpooled
13A10,0.8160000000000001,0.9542165242165244,0.8714672364672366,Full_unpooled
14A4,0.809047619047619,0.9526198439241916,0.7480674398065702,Full_unpooled
16A11,0.26666666666666666,0.846360153256705,0.8843645752881135,Full_unpooled
14D7,0.45,0.902322796934866,0.891866327996716,Full_unpooled
NYE-S1,0.73503108003108,0.9565005827505827,0.7952991452991454,Full_unpooled
NYE-S2,0.45888888888888885,0.94007474007474,0.9360046126712793,Full_unpooled
NYE-S3,0.7762755102040816,0.956469254368414,0.817729869725668,Full_unpooled
868Z11,0.5331101190476191,0.8925960735171261,0.8681711719775629,Full_unpooled
TCR1,0.6254321071658533,0.9181066444536914,0.7888103959532531,Full_unpooled
TCR2,0.9056127450980392,0.8916395617070358,0.5038235294117648,Full_unpooled
TCR3,0.47245258709544424,0.7970998976513682,0.8573690423138952,Full_unpooled
TCR4,0.7160714285714287,0.9380338810186742,0.8100272482806217,Full_unpooled
TCR5,0.8282979343784298,0.9232072010090585,0.7593686868686869,Full_unpooled
TCR6,0.7969017094017095,0.9268334297281665,0.6742167919799499,Full_unpooled
TCR7,0.6644094001236859,0.921755125712747,0.7842842495850014,Full_unpooled
A6,0.7922298779651722,0.9239546727782022,0.7244524248033606,Full_unpooled
B7,0.7140995670995671,0.9219696969696969,0.7490858848222486,Full_unpooled
T1,0.5555555555555555,0.9696938963673244,0.8118279569892474,Full_unpooled
FLT3DY,0.7501666666666666,0.9073740648282984,0.8657879134595383,Full_unpooled
A23,0.7185714285714286,0.9726969390762494,0.9416403519851796,Full_unpooled
c259,0.6155753968253967,0.9141325803825804,0.8759798529698279,Full_unpooled
TCR1-T,0.37077380952380956,0.8964008923407419,0.921023143940437,Full_unpooled
TCR2-T,0.561,0.9453321919626267,0.8828911185432926,Full_unpooled
TCR3-T,0.7330687830687831,0.9837955758962625,0.879360248447205,Full_unpooled
47BE7,0.8230059523809524,0.9437144142407302,0.8488630229419704,Full_unpooled
a3a,0.7356532356532356,0.9789529914529915,0.9149318274318275,Full_unpooled
TIL1383I,0.779948717948718,0.8652392052392053,0.6032987012987013,Full_unpooled
R21,0.8576053113553114,0.9001282051282052,0.6284484126984128,Full_unpooled
R23,0.9505555555555556,1.0,0.6605555555555556,Full_unpooled
R24,0.6650757575757575,0.9738215488215488,0.901010101010101,Full_unpooled
R25,0.9026226551226552,0.9804087301587302,0.8381746031746031,Full_unpooled
R26,0.8906074758574759,0.9659025065843249,0.6924829931972789,Full_unpooled
R27,0.8860354808590103,0.984967320261438,0.8288571428571428,Full_unpooled
R28,0.9444444444444444,0.9734339190221544,0.7080182072829132,Full_unpooled
TCR1-4,0.7941391941391941,0.8948524024994613,0.7427322467448518,Full_unpooled
TCR2-4,0.7390694273047214,0.9217365967365968,0.7955358115468409,Full_unpooled
TCR3-4,0.8985897435897435,0.9770238095238095,0.8162132475367769,Full_unpooled
TCR4-4,0.7614880952380954,0.9748476127047556,0.862822594072594,Full_unpooled
TCR5-2,0.7961398517740429,0.9421782601929662,0.8504117063492063,Full_unpooled
TCR6-2,0.7161533056315664,0.8650362318840579,0.6363636363636364,Full_unpooled
TCR10-4,0.7244567932067932,0.9030103230103229,0.7770089285714286,Full_unpooled
TCR11-4,0.7180402930402929,0.8944047619047618,0.8022405372405373,Full_unpooled
TCR51-10,0.7754428904428904,0.9521534227726178,0.8768469301596238,Full_unpooled
TCR52-10,0.6758294633642932,0.8982772166105499,0.8489051375467784,Full_unpooled
TCR54-10,0.792442334354099,0.9186668270001602,0.7625826968964224,Full_unpooled
TCR65-8,0.8511721611721612,0.9595757020757022,0.8065973568914746,Full_unpooled
TCR66-8,0.8654179154179154,0.964095623674571,0.7103950216450217,Full_unpooled
TCR73-14,0.6758949938949939,0.8826645576645576,0.7851986901986903,Full_unpooled
TCR74-14,0.7618142115732638,0.8655555555555555,0.7185445925128251,Full_unpooled
TCR77-14,0.7055931568431569,0.9541156066156067,0.8737447506197507,Full_unpooled
TCR81-14,0.7840735653235653,0.8742424242424243,0.7037537462537463,Full_unpooled
TCR82-14,0.8361398786398787,0.9899544740973312,0.7881944444444444,Full_unpooled
TCR83-3,0.6180030345471522,0.8242635599694423,0.7268749999999999,Full_unpooled
TCR84-3,0.866529650904651,0.9812251984126984,0.8325202575202575,Full_unpooled
A3-05,0.6415079365079366,0.9490402576489533,0.8894625833908443,Full_unpooled
A3-10,0.6641309523809523,0.947061868225551,0.924882474729022,Full_unpooled
TCR-1E6,0.6768945868945868,0.8791924408166288,0.8219465950785292,Full_unpooled
APN-TCR,0.6105191197691198,0.9016463799358536,0.8452824274288091,Full_unpooled
EWW-TCR,0.7887445887445887,0.9159271284271284,0.7659809130263675,Full_unpooled
A3V,0.8458189033189033,0.9693427794343126,0.8206905851585485,Full_unpooled
A11Va,0.7764258721076903,0.9395677933177933,0.7850674448100918,Full_unpooled
A11Vb,0.6923611111111111,0.9385140212384794,0.8852667542296025,Full_unpooled
A11Vc,0.8511111111111112,0.9615659395071159,0.8497299838208928,Full_unpooled
