,WS,NS,NW,type
TCR-1E6,0.6768945868945868,0.8816615766190979,0.8219673539298726,Full_within
NLV2,0.6900000000000001,0.8497385620915032,0.7348453781512605,Full_within
NLV3,0.47857142857142854,0.8987362637362637,0.8784909266360879,Full_within
TCR1,0.774190755924502,0.9141606287831581,0.7436873146694575,Full_within
TCR2,0.8880637254901961,0.8984864154812252,0.44421568627450975,Full_within
TCR3,0.6751937546580403,0.7720034622240505,0.6817489230540701,Full_within
TCR1-4,0.8464102564102565,0.975989010989011,0.8266299433974774,Full_within
TCR2-4,0.8213436400201106,0.9763597513597514,0.8948133484162897,Full_within
TCR3-4,0.9054445554445556,0.996875,0.8839892950187067,Full_within
TCR4-4,0.7761616161616163,0.9961538461538462,0.9365284715284716,Full_within
TCR5-2,0.8767072731870525,0.9962962962962962,0.8975396825396826,Full_within
TCR6-2,0.8492699270670286,0.9252717391304348,0.540909090909091,Full_within
TCR10-4,0.8873376623376623,0.9816391941391942,0.8042433608058609,Full_within
TCR11-4,0.858095238095238,0.9788644688644688,0.8916895604395606,Full_within
TCR51-10,0.820842490842491,0.9803130374957,0.8813135223909219,Full_within
TCR52-10,0.7866701544165424,0.9514085297418632,0.8606471969436364,Full_within
TCR54-10,0.8345509836931406,0.980952380952381,0.8782153032153032,Full_within
TCR65-8,0.8350463262227968,0.9688687423687424,0.8234902679020326,Full_within
TCR66-8,0.9145895989974937,0.9764719491035281,0.8294318181818181,Full_within
TCR73-14,0.7396092796092796,0.9468675768675769,0.8621239871239872,Full_within
TCR74-14,0.8116457650947488,0.9363888888888889,0.7974218901900958,Full_within
TCR77-14,0.8322406759906761,0.9748334998334999,0.8806008459133459,Full_within
TCR81-14,0.7275564713064713,0.8314935064935064,0.7005377955377956,Full_within
TCR82-14,0.8476938339438339,0.9959183673469388,0.9014880952380953,Full_within
TCR83-3,0.8247619047619047,0.962953823953824,0.7996843434343435,Full_within
TCR84-3,0.9029956154956155,0.9875,0.8931751119251119,Full_within
11A10,0.8313564213564213,0.9892773892773892,0.9230660277937165,Full_within
12A11,0.7474489795918368,0.9687312687312687,0.9187439753229227,Full_within
18A2,0.8934761904761904,0.9635672514619882,0.8197076023391814,Full_within
7A10,0.7666666666666667,0.9715018315018316,0.9151497761497762,Full_within
13A10,0.7626666666666667,0.9527635327635329,0.863468660968661,Full_within
14A4,0.9057142857142857,0.9852296254470169,0.8519645571819485,Full_within
16A11,0.5222222222222223,0.960536398467433,0.9693820968303728,Full_within
14D7,0.7166666666666667,1.0,0.9611362547892721,Full_within
NYE-S1,0.7568961247086247,0.9468201243201243,0.7953418803418802,Full_within
NYE-S2,0.5111111111111111,0.9430865430865432,0.931505408172075,Full_within
NYE-S3,0.777125850340136,0.9516061980347693,0.8100540216086435,Full_within
c259,0.7048611111111112,0.9580716659883326,0.8846266031378812,Full_within
868Z11,0.5331101190476191,0.8925960735171261,0.8702332468074949,Full_within
TCR4,0.7561904761904762,0.94860667625371,0.8194136265200733,Full_within
TCR5,0.8711428899044998,0.9312249950485245,0.7475252525252526,Full_within
TCR6,0.851965811965812,0.924572006940428,0.700642230576441,Full_within
TCR7,0.6664502164502164,0.921755125712747,0.7863250659115321,Full_within
A6,0.8411469902646374,0.9430672268907563,0.7071902251046636,Full_within
B7,0.8039379509379507,0.9823232323232324,0.7515306834579563,Full_within
T1,0.5555555555555555,0.9666635933370212,0.8197644649257553,Full_within
FLT3DY,0.7541666666666667,0.911077768532002,0.8671204416398925,Full_within
A23,0.7185714285714286,0.9745487909281014,0.9416403519851796,Full_within
TCR1-T,0.6544387755102041,0.998,0.9939952904238618,Full_within
TCR2-T,0.6366666666666667,0.9961538461538462,0.9821611721611723,Full_within
TCR3-T,0.6235449735449736,0.9879999999999999,0.989863390359958,Full_within
47BE7,0.8230059523809524,0.9424323629586787,0.8488630229419704,Full_within
a3a,0.8081562881562881,0.9701221001221002,0.9253428978428978,Full_within
A3-05,0.7400000000000001,0.9808550724637681,0.9194725097768577,Full_within
A3-10,0.6547857142857143,0.9661534831323835,0.9303312629399585,Full_within
TIL1383I,0.7830256410256411,0.8652392052392053,0.6032987012987013,Full_within
R21,0.8565888278388278,0.9533547008547009,0.7887718253968254,Full_within
R23,0.9462962962962962,1.0,0.8933333333333333,Full_within
R24,0.7221717171717172,0.9740179573512908,0.9082828282828282,Full_within
R25,0.945138888888889,0.9859791666666666,0.8837301587301587,Full_within
R26,0.9181747181390039,0.9734389095752732,0.7145330859616573,Full_within
R27,0.8789430438842203,0.9852287581699347,0.8394761904761904,Full_within
R28,0.9603174603174602,0.9773554876496053,0.7659276589423648,Full_within
APN-TCR,0.6073445165945166,0.9039191072085808,0.8454869694754563,Full_within
EWW-TCR,0.7900577200577201,0.9145851370851371,0.7648698019152564,Full_within
A3V,0.8340007215007216,0.9743449271509913,0.8134518361120191,Full_within
A11Va,0.835221571357935,0.9538861546949782,0.7952787424365477,Full_within
A11Vb,0.7102777777777778,0.9484245372790264,0.8922973655171796,Full_within
A11Vc,0.8755803129332541,0.9693481028775146,0.8733956361852975,Full_within
