,WS,NS,NW,type
NLV2,0.7588888888888888,0.9647936507936509,0.7781887955182073,Symmetric_across
NLV3,0.5093333333333334,0.9043956043956044,0.8904771662029727,Symmetric_across
11A10,0.8755555555555556,0.9715151515151514,0.7868151596687065,Symmetric_across
12A11,0.8314625850340136,0.982967032967033,0.7889373784110626,Symmetric_across
18A2,0.8731534391534392,0.9595697577276525,0.7080382205513784,Symmetric_across
7A10,0.7516666666666667,0.9933333333333334,0.9195952380952381,Symmetric_across
13A10,0.7533333333333333,0.9528205128205128,0.8776994301994302,Symmetric_across
14A4,0.775952380952381,0.9353314559836299,0.7850040539170974,Symmetric_across
16A11,0.3666666666666667,0.8915708812260537,0.9213314857722654,Symmetric_across
14D7,0.21666666666666667,0.8394396551724137,0.9271602695675971,Symmetric_across
NYE-S1,0.7466062062937063,0.9590306915306914,0.8060470085470086,Symmetric_across
NYE-S2,0.5316666666666667,0.9545167795167796,0.9320516931628043,Symmetric_across
NYE-S3,0.7732993197278911,0.9575396825396826,0.8517329153883775,Symmetric_across
868Z11,0.6882440476190477,0.947779605263158,0.9189577366034133,Symmetric_across
TCR1,0.7372383321299729,0.9322684527286814,0.7372334510727369,Symmetric_across
TCR2,0.9043137254901961,0.9165172369601435,0.4970588235294118,Symmetric_across
TCR3,0.6800510204081633,0.8242631755499403,0.7518553178847297,Symmetric_across
TCR4,0.7328571428571429,0.9589993982600535,0.8406081007115489,Symmetric_across
TCR5,0.8536842432879584,0.9333049796207693,0.6803030303030304,Symmetric_across
TCR6,0.8326709401709402,0.9026884518989782,0.6688022138680033,Symmetric_across
TCR7,0.7885178313749742,0.9389647672901262,0.7415717866093805,Symmetric_across
A6,0.759111819552996,0.9041494779730075,0.7303014164979406,Symmetric_across
B7,0.7847077922077922,0.9550000000000001,0.7533431588613406,Symmetric_across
T1,0.5,0.9885495668587992,0.8149001536098311,Symmetric_across
FLT3DY,0.6336666666666667,0.9525566881630955,0.8922319495488832,Symmetric_across
A23,0.6347619047619047,0.961771714875163,0.937961068305896,Symmetric_across
c259,0.7127976190476191,0.9550486704653371,0.9133487381457307,Symmetric_across
TCR1-T,0.3982653061224489,0.9096505549588256,0.9479355898904771,Symmetric_across
TCR2-T,0.5296666666666667,0.9442137813876943,0.9320072198333067,Symmetric_across
TCR3-T,0.7439153439153439,0.9744897025171625,0.9148479532163742,Symmetric_across
47BE7,0.8481865079365078,0.951618549579076,0.830748987854251,Symmetric_across
a3a,0.8481929181929182,0.984908424908425,0.9224911816578484,Symmetric_across
TIL1383I,0.8111282051282049,0.9288078588078589,0.6746320346320347,Symmetric_across
R21,0.8351831501831504,0.951025641025641,0.753154761904762,Symmetric_across
R23,0.944074074074074,1.0,0.857777777777778,Symmetric_across
R24,0.7560353535353534,0.9647586980920314,0.8961616161616162,Symmetric_across
R25,0.950734126984127,0.9853194444444444,0.8573015873015872,Symmetric_across
R26,0.9138839018124733,0.9872255017709562,0.7556771799628943,Symmetric_across
R27,0.9073352007469655,0.9813725490196077,0.8047142857142857,Symmetric_across
R28,0.9333333333333333,0.9725522026992615,0.762468169085816,Symmetric_across
TCR1-4,0.8107692307692307,0.9407385261797027,0.7644819821419693,Symmetric_across
TCR2-4,0.8040468028703323,0.9684472934472936,0.8712350741578684,Symmetric_across
TCR3-4,0.9258058608058608,0.9982142857142857,0.8507463125110183,Symmetric_across
TCR4-4,0.7786958874458875,0.9937728937728938,0.9122040459540459,Symmetric_across
TCR5-2,0.8474880368814193,0.978182384064737,0.8507242063492064,Symmetric_across
TCR6-2,0.8041467968424489,0.9347826086956521,0.6818181818181819,Symmetric_across
TCR10-4,0.8347902097902098,0.9546320346320346,0.7665144230769233,Symmetric_across
TCR11-4,0.8149358974358973,0.9506501831501832,0.815680708180708,Symmetric_across
TCR51-10,0.8476573426573427,0.9866013071895425,0.887346317253438,Symmetric_across
TCR52-10,0.7488130900508352,0.9287037037037036,0.8467779489077218,Symmetric_across
TCR54-10,0.7977024994794603,0.9496632996632997,0.8332492398668869,Symmetric_across
TCR65-8,0.8861581555699203,0.9663577533577534,0.8019234360410831,Symmetric_across
TCR66-8,0.9026011050353155,0.9679777970567445,0.8113906926406926,Symmetric_across
TCR73-14,0.7294774114774115,0.9204989454989455,0.8062165612165613,Symmetric_across
TCR74-14,0.7817716606093239,0.9233333333333335,0.7713264085191666,Symmetric_across
TCR77-14,0.7848268398268398,0.9593672993672995,0.8855624699374699,Symmetric_across
TCR81-14,0.8133547008547009,0.8805483405483405,0.7233524808524808,Symmetric_across
TCR82-14,0.854102934102934,0.9899952904238619,0.8635588023088022,Symmetric_across
TCR83-3,0.7762850140056023,0.9280982089805618,0.7430800653594771,Symmetric_across
TCR84-3,0.90011655011655,0.9947420634920636,0.8660429847929848,Symmetric_across
A3-05,0.6215079365079366,0.9489339774557166,0.9249628939498505,Symmetric_across
A3-10,0.7408571428571429,0.9677598648154915,0.899602971623432,Symmetric_across
TCR-1E6,0.7681196581196581,0.9197586391989191,0.826087099849885,Symmetric_across
APN-TCR,0.6094963924963925,0.9039291848502374,0.858745714568083,Symmetric_across
EWW-TCR,0.7924386724386725,0.9131060606060606,0.7502994227994227,Symmetric_across
A3V,0.8308080808080808,0.9770973560933515,0.8201543260324726,Symmetric_across
A11Va,0.8339964076327713,0.9589719390087037,0.8067500733931731,Symmetric_across
A11Vb,0.7081944444444446,0.9505617430385233,0.8806197758210143,Symmetric_across
A11Vc,0.8803485838779957,0.9730537871714342,0.8828841637665168,Symmetric_across
