,WS,NS,NW,type
TCR-1E6,0.7094871794871794,0.8964338201269737,0.804098250020289,Symmetric_within
NLV2,0.7366666666666666,0.9205191409897292,0.8076946778711485,Symmetric_within
NLV3,0.5192380952380952,0.855979020979021,0.86575262551069,Symmetric_within
TCR1,0.7606939041923563,0.9151289231218976,0.7380941479155765,Symmetric_within
TCR2,0.9043137254901961,0.9141820453671666,0.4708823529411765,Symmetric_within
TCR3,0.63367513438942,0.8142171186656479,0.7576448041337748,Symmetric_within
TCR1-4,0.834871794871795,0.9631318681318681,0.8065076933140121,Symmetric_within
TCR2-4,0.8161996663467251,0.9749287749287749,0.8703079960616726,Symmetric_within
TCR3-4,0.913974358974359,0.9948660714285715,0.8743007482713365,Symmetric_within
TCR4-4,0.7763810726310727,0.9864413364413365,0.910357559107559,Symmetric_within
TCR5-2,0.8687894393868658,0.9962962962962962,0.8806051587301589,Symmetric_within
TCR6-2,0.8208722753360436,0.9035326086956521,0.6090909090909091,Symmetric_within
TCR10-4,0.8713286713286713,0.975144855144855,0.7923511904761906,Symmetric_within
TCR11-4,0.8438766788766788,0.9569230769230769,0.8608424908424908,Symmetric_within
TCR51-10,0.8387762237762239,0.9834743722050223,0.878751475562621,Symmetric_within
TCR52-10,0.774633595153461,0.9423793490460157,0.8360622348354546,Symmetric_within
TCR54-10,0.8331993102213691,0.9694444444444444,0.8460055104662947,Symmetric_within
TCR65-8,0.8653587588881708,0.9789133089133089,0.8086612080729727,Symmetric_within
TCR66-8,0.916633892423366,0.974525014459225,0.802797619047619,Symmetric_within
TCR73-14,0.7438778998778999,0.936024531024531,0.8076451326451327,Symmetric_within
TCR74-14,0.7929966647223343,0.9144444444444444,0.792074004277531,Symmetric_within
TCR77-14,0.8252351814851815,0.9780178155178156,0.8649554033929034,Symmetric_within
TCR81-14,0.7835775335775337,0.9093722943722943,0.6932084582084582,Symmetric_within
TCR82-14,0.8324340936840937,0.993995290423862,0.8739159451659452,Symmetric_within
TCR83-3,0.7981652661064426,0.9630230880230879,0.7985190136660726,Symmetric_within
TCR84-3,0.91363566988567,0.9916666666666668,0.8879865504865506,Symmetric_within
11A10,0.8618037518037518,0.9913908313908314,0.8657356739370469,Symmetric_within
12A11,0.8188775510204082,0.9699800199800199,0.8443188390556811,Symmetric_within
18A2,0.9025449735449735,0.9691979949874687,0.7942758980785296,Symmetric_within
7A10,0.7633333333333334,0.9775091575091576,0.9077944647944648,Symmetric_within
13A10,0.7846666666666666,0.9704273504273505,0.8601994301994302,Symmetric_within
14A4,0.8447619047619048,0.9687129295824948,0.8048212656908309,Symmetric_within
16A11,0.39999999999999997,0.8858237547892721,0.945828873442067,Symmetric_within
14D7,0.06666666666666665,0.913433908045977,0.9537195197044334,Symmetric_within
NYE-S1,0.7431534090909091,0.9420095182595183,0.7942094017094017,Symmetric_within
NYE-S2,0.46611111111111114,0.9455007955007956,0.9253738853738852,Symmetric_within
NYE-S3,0.7874149659863946,0.949395313681028,0.8226768485171847,Symmetric_within
c259,0.6091269841269841,0.9338451363451363,0.8841375589972081,Symmetric_within
868Z11,0.5550595238095238,0.9328986528822056,0.8941520467836257,Symmetric_within
TCR4,0.7202380952380952,0.9516997827616803,0.8188518597843937,Symmetric_within
TCR5,0.8653180500270283,0.9266917888899313,0.7411616161616161,Symmetric_within
TCR6,0.8340384615384615,0.9198711522395733,0.6753446115288221,Symmetric_within
TCR7,0.6891774891774892,0.9247574662748962,0.7749251375191225,Symmetric_within
A6,0.8465310914575621,0.9321364909600203,0.669134842430297,Symmetric_within
B7,0.7863917748917748,0.9545454545454545,0.7450799947527219,Symmetric_within
T1,0.5555555555555555,0.9671092261355951,0.8241167434715821,Symmetric_within
FLT3DY,0.7631666666666668,0.916690416753346,0.8737842960497423,Symmetric_within
A23,0.709047619047619,0.9689632015494084,0.9434185227288676,Symmetric_within
TCR1-T,0.5333758503401361,0.9703648406731114,0.9632441268005177,Symmetric_within
TCR2-T,0.5630000000000001,0.9784416308329351,0.9578489143706536,Symmetric_within
TCR3-T,0.6272486772486773,0.9824285714285714,0.9732434709963315,Symmetric_within
47BE7,0.8207797619047618,0.9447847985347986,0.8402665317139,Symmetric_within
a3a,0.8376068376068376,0.983968253968254,0.9211914936914937,Symmetric_within
A3-05,0.6953174603174604,0.9702673107890499,0.8982458937198068,Symmetric_within
A3-10,0.6653095238095238,0.9535421994884912,0.9216124710753866,Symmetric_within
TIL1383I,0.793059829059829,0.8415367965367965,0.5575584415584416,Symmetric_within
R21,0.8595741758241757,0.9506196581196582,0.7695218253968253,Symmetric_within
R23,0.9462962962962962,1.0,0.9144444444444446,Symmetric_within
R24,0.7310606060606061,0.9708810325476993,0.9094949494949496,Symmetric_within
R25,0.9443055555555556,0.9859791666666666,0.8673015873015875,Symmetric_within
R26,0.9074571618857334,0.9695882148154876,0.7336147186147186,Symmetric_within
R27,0.8712903828197947,0.9850980392156863,0.8029047619047619,Symmetric_within
R28,0.9555555555555555,0.9709829386299974,0.7600909303115186,Symmetric_within
APN-TCR,0.6027009379509379,0.8815261492893072,0.8322019132792159,Symmetric_within
EWW-TCR,0.7574603174603175,0.9110317460317461,0.7592803576894485,Symmetric_within
A3V,0.8252597402597402,0.9748941286434135,0.8169663288656425,Symmetric_within
A11Va,0.8323687675960402,0.9588293365131599,0.8005439884399161,Symmetric_within
A11Vb,0.7173611111111111,0.9505936409651581,0.8940098687002711,Symmetric_within
A11Vc,0.8780015844721728,0.9721258806552925,0.8669192240716305,Symmetric_within
