"","al_round","tcr","auc","al_type"
"1","LOO TCR","a3a",0.574050012686913,"No AL"
"2","LOO TCR","TCR81-14",0.6141854912764,"No AL"
"3","LOO TCR","18A2",0.799198294785735,"No AL"
"4","LOO TCR","NYE-S1",0.625875948108594,"No AL"
"5","LOO TCR","TCR6",0.569985596707819,"No AL"
"6","LOO TCR","TCR7",0.707826420890937,"No AL"
"7","LOO TCR","A6",0.716186406186406,"No AL"
"8","LOO TCR","T1",0.755387740681858,"No AL"
"9","LOO TCR","FLT3DY",0.618306636155606,"No AL"
"10","LOO TCR","A23",0.846569178852643,"No AL"
"11","LOO TCR","TCR2-T",0.624128221789041,"No AL"
"12","LOO TCR","868Z11",0.792610424189372,"No AL"
"13","1","a3a",0.851731236414781,"No random"
"14","1","TCR81-14",0.753459119496855,"No random"
"15","1","18A2",0.838126725544929,"No random"
"16","1","NYE-S1",0.694783983140148,"No random"
"17","1","TCR6",0.717779874029874,"No random"
"18","1","TCR7",0.778630217519106,"No random"
"19","1","A6",0.775690820683112,"No random"
"20","1","T1",0.839508928571429,"No random"
"21","1","FLT3DY",0.479560308972074,"No random"
"22","1","A23",0.726486660237866,"No random"
"23","1","TCR2-T",0.673042813455658,"No random"
"24","1","868Z11",0.739847462932924,"No random"
"25","2","a3a",0.881173007246377,"No random"
"26","2","TCR81-14",0.743225165309789,"No random"
"27","2","18A2",0.82882697786544,"No random"
"28","2","NYE-S1",0.65907642243693,"No random"
"29","2","TCR6",0.763120567375887,"No random"
"30","2","TCR7",0.787278836973386,"No random"
"31","2","A6",0.758626483129403,"No random"
"32","2","T1",0.834343434343434,"No random"
"33","2","FLT3DY",0.561929397443701,"No random"
"34","2","A23",0.775991609458429,"No random"
"35","2","TCR2-T",0.655837689818272,"No random"
"36","2","868Z11",0.751161560999289,"No random"
"37","3","a3a",0.853885067511009,"No random"
"38","3","TCR81-14",0.73014956207101,"No random"
"39","3","18A2",0.838493875480177,"No random"
"40","3","NYE-S1",0.674836998750042,"No random"
"41","3","TCR6",0.765710872162485,"No random"
"42","3","TCR7",0.788448640561317,"No random"
"43","3","A6",0.754064372538949,"No random"
"44","3","T1",0.835140018066847,"No random"
"45","3","FLT3DY",0.738570881226054,"No random"
"46","3","A23",0.846848953648738,"No random"
"47","3","TCR2-T",0.697934368037461,"No random"
"48","3","868Z11",0.783480725623583,"No random"
"49","4","a3a",0.863963663823738,"No random"
"50","4","TCR81-14",0.736958017379339,"No random"
"51","4","18A2",0.838217928073001,"No random"
"52","4","NYE-S1",0.759467120181406,"No random"
"53","4","TCR6",0.769402120645104,"No random"
"54","4","TCR7",0.775364504776269,"No random"
"55","4","A6",0.793076812752269,"No random"
"56","4","T1",0.837914230019493,"No random"
"57","4","FLT3DY",0.732527486960111,"No random"
"58","4","A23",0.836429549414986,"No random"
"59","4","TCR2-T",0.697321205635812,"No random"
"60","4","868Z11",0.792723429951691,"No random"
"61","5","a3a",0.866696061140506,"No random"
"62","5","TCR81-14",0.726723690323286,"No random"
"63","5","18A2",0.85616434571176,"No random"
"64","5","NYE-S1",0.769063951521117,"No random"
"65","5","TCR6",0.766922387268985,"No random"
"66","5","TCR7",0.781485356999832,"No random"
"67","5","A6",0.826794902358106,"No random"
"68","5","T1",0.834493860437257,"No random"
"69","5","FLT3DY",0.768578974812396,"No random"
"70","5","A23",0.842996413308913,"No random"
"71","5","TCR2-T",0.726392526628252,"No random"
"72","5","868Z11",0.774085097001764,"No random"
"73","6","a3a",0.868810135250813,"No random"
"74","6","TCR81-14",0.729720343421922,"No random"
"75","6","18A2",0.844035842293907,"No random"
"76","6","NYE-S1",0.763517375400091,"No random"
