,0,1,2,3,4,5,6,7,8
18A2,0.051,0.854,0.262,0.367,0.861,0.897,0.734,0.074,0.807
868Z11,0.153,0.854,0.856,0.843,0.67,0.815,0.651,0.182,0.675
A23,0.059,0.624,0.845,0.854,0.874,0.873,0.805,0.838,0.775
A6,0.067,0.17,0.099,0.856,0.277,0.707,0.124,0.782,0.299
FLT3DY,0.084,0.864,0.11,0.831,0.856,0.49,0.071,0.874,0.798
NYE-S1,0.069,0.211,0.096,0.633,0.891,0.245,0.737,0.592,0.104
R24,0.098,0.479,0.805,0.073,0.906,0.91,0.204,0.152,0.404
T1,0.032,0.808,0.816,0.8,0.721,0.723,0.812,0.813,0.792
TCR2-T,0.058,0.77,0.842,0.887,0.874,0.076,0.346,0.871,0.485
TCR6,0.859,0.688,0.685,0.401,0.136,0.911,0.116,0.044,0.215
TCR7,0.043,0.852,0.161,0.924,0.909,0.823,0.923,0.072,0.058
TCR81-14,0.618,0.448,0.399,0.905,0.344,0.232,0.12,0.058,0.16
TIL1383I,0.056,0.48,0.775,0.522,0.797,0.911,0.079,0.101,0.477
a3a,0.905,0.732,0.904,0.906,0.918,0.052,0.074,0.038,0.201
