,0,1,2,3,4,5,6,7,8,NB,WB,SB
18A2,0.043,0.706,0.648,0.421,0.804,0.94,0.645,0.12,0.596,0.566,0.39,0.205
868Z11,0.241,0.872,0.87,0.894,0.822,0.71,0.491,0.211,0.517,0.572,0.588,0.239
A23,0.056,0.631,0.891,0.857,0.897,0.889,0.811,0.857,0.84,0.532,0.498,0.292
A6,0.106,0.233,0.21,0.872,0.33,0.493,0.212,0.551,0.335,0.468,0.562,0.199
FLT3DY,0.078,0.817,0.121,0.852,0.887,0.566,0.059,0.89,0.826,0.618,0.443,0.369
NYE-S1,0.047,0.122,0.057,0.382,0.872,0.141,0.591,0.612,0.069,0.708,0.298,0.285
R24,0.087,0.505,0.563,0.047,0.874,0.904,0.245,0.133,0.184,0.433,0.435,0.292
T1,0.021,0.86,0.885,0.839,0.837,0.873,0.894,0.893,0.812,0.625,0.588,0.27
TCR2-T,0.061,0.585,0.841,0.915,0.908,0.059,0.413,0.867,0.229,0.749,0.324,0.257
TCR6,0.722,0.564,0.712,0.852,0.248,0.92,0.296,0.03,0.312,0.355,0.407,0.324
TCR7,0.023,0.541,0.209,0.926,0.916,0.566,0.906,0.09,0.028,0.496,0.334,0.3
TCR81-14,0.466,0.279,0.271,0.794,0.429,0.185,0.089,0.031,0.116,0.47,0.417,0.27
TIL1383I,0.04,0.51,0.476,0.397,0.779,0.93,0.079,0.215,0.51,0.478,0.473,0.173
a3a,0.927,0.584,0.906,0.911,0.9,0.03,0.058,0.025,0.27,0.432,0.393,0.3
pan-TCR,0.03,0.313,0.33,0.569,0.619,0.36,0.226,0.139,0.115,0.906,0.21,0.06
