,0,1,2,3,4,5,6,7,8
18A2,0.039,0.604,0.508,0.401,0.815,0.931,0.556,0.118,0.616
868Z11,0.281,0.883,0.874,0.89,0.776,0.781,0.549,0.244,0.613
A23,0.066,0.691,0.882,0.86,0.898,0.903,0.843,0.797,0.808
A6,0.108,0.224,0.211,0.842,0.321,0.448,0.204,0.508,0.315
FLT3DY,0.087,0.839,0.161,0.835,0.877,0.534,0.069,0.891,0.819
NYE-S1,0.049,0.161,0.08,0.407,0.834,0.159,0.546,0.495,0.103
R24,0.107,0.511,0.524,0.052,0.857,0.874,0.256,0.14,0.198
T1,0.027,0.872,0.884,0.828,0.807,0.838,0.893,0.885,0.828
TCR2-T,0.088,0.676,0.829,0.912,0.914,0.088,0.453,0.866,0.318
TCR6,0.737,0.539,0.616,0.712,0.239,0.902,0.265,0.029,0.309
TCR7,0.027,0.481,0.23,0.909,0.905,0.628,0.9,0.079,0.028
TCR81-14,0.44,0.292,0.255,0.672,0.41,0.185,0.092,0.028,0.112
TIL1383I,0.043,0.511,0.464,0.447,0.65,0.927,0.081,0.197,0.507
a3a,0.928,0.602,0.899,0.907,0.908,0.036,0.071,0.026,0.283
